16932853
/m/0412l8w
/m/0412l8w
Carol Matas
1993
{"/m/0dwly": "Children's literature"}
130s 1
133 1
145 1
a 1
able 1
and 6
are 2
around 1
as 1
auschwitz 1
away 1
barely 1
before 1
being 1
buchenwald 1
but 1
by 1
came 1
camp 3
can 1
concentration 1
courageous 1
dangers 1
daniel 4
days 1
deported 1
dignity 1
endures 1
extermination 1
face 2
fading 1
family 3
final 1
first 1
for 1
forced 1
frankfurt 1
from 1
germany 1
ghetto 1
happy 1
he 4
him 1
his 3
hitler 2
home 1
hope 2
horrors 1
in 6
is 2
jews 1
late 1
leading 1
liberation 1
life 2
lodzpoland 1
longer 1
lose 1
manages 1
many 1
memories 1
nazi 1
nazis 1
no 1
normal 1
of 3
once 1
or 1
own 1
picture 1
power 1
practice 1
property 1
religion 1
remembers 1
retain 1
safe 1
solution 1
still 1
struggles 1
such 1
supported 1
survival 1
survives 1
terror 1
the 10
their 2
then 1
they 1
though 1
threatening 1
through 1
to 7
torments 1
transported 1
vote 1
witness 1
work 1
yet 1
