23543467
/m/06w1c1f
/m/06w1c1f
Geraldine McCaughrean

a 1
able 1
about 1
after 1
an 1
and 3
antarctica 2
believer 1
briggs 3
by 1
cleves 1
convinced 1
danger 1
death 1
dies 1
domineering 1
earth 1
elected 1
entrance 1
escape 1
father 1
finally 1
find 1
for 1
freedom 1
has 1
he 2
her 6
him 1
himself 1
his 3
hollow 1
in 3
increasingly 1
inhabitants 1
inner 1
is 4
its 1
john 1
jr 1
life 1
new 1
obsession 1
obsessive 1
of 2
others 1
own 1
parent 1
plans 1
prove 1
pursuing 1
puts 1
ready 1
real 1
returns 1
sacrifice 1
sees 1
she 2
shy 1
still 1
surrogate 1
sym 3
symmes 1
symone 1
taken 1
teenager 1
that 1
the 5
then 1
theories 1
theory 1
to 6
truth 1
uncle 1
until 1
victor 1
wates 1
while 1
who 1
will 1
with 1
world 1
