31567409
/m/0glsdd9
/m/0glsdd9

2010-04-20
{"/m/03mfnf": "Young adult literature"}
18yearold 1
a 2
addison 1
and 4
applying 1
are 1
as 1
bad 1
begins 1
best 1
book 2
broadus 1
but 1
by 1
chicago 1
classics 1
classmate 1
classmates 1
collecting 1
dc 1
dealing 1
death 1
drugs 1
essay 1
events 1
explains 1
fellow 1
girlfriend 1
has 1
he 5
hero 1
highschool 1
his 5
illustrated 1
in 3
include 1
insulting 1
investigate 1
is 4
jokes 1
kevin 1
killed 1
mother 1
of 4
offensive 1
only 1
plans 1
process 1
qualities 2
question 1
response 1
schacht 1
senior 2
senseless 1
shooting 1
students 1
study 1
teachers 1
the 8
they 1
to 5
university 1
washington 1
what 1
where 1
worst 1
year 1
your 1
