17489965
/m/0465dl3
/m/0465dl3
Anthony Horowitz
2003-01-06
a 9
about 1
accident 2
across 1
admired 1
advertising 1
after 1
again 2
alive 1
american 2
an 1
and 8
apparently 1
are 3
as 1
assistants 2
assume 1
assumed 1
at 3
author 1
balloon 2
be 2
been 1
before 2
being 1
bit 1
bizarre 1
blurred 1
brothers 3
bugged 1
but 3
by 4
car 1
carter 2
cemetery 1
charity 3
chase 1
children 1
circus 3
clown 1
clues 1
compartment 1
compartments 1
corpse 1
correct 1
could 2
cover 1
crime 1
crimes 1
death 1
decides 1
deduces 1
diamond 1
died 1
discover 1
dream 1
driven 1
driver 1
due 3
either 1
ensues 1
eye 1
features 1
fields 1
finale 1
finances 1
find 2
finds 1
first 1
foolishly 1
for 3
fraud 1
go 1
grammar 1
grave 2
ground 1
happened 1
has 1
have 1
he 6
hearing 1
him 2
hired 1
his 4
hospital 1
if 1
in 6
interview 1
investigation 1
investigator 2
is 6
it 1
joe 1
just 2
knife 1
lenny 10
like 3
london 1
looks 2
loses 1
man 2
may 1
meet 1
mental 1
missing 1
more 1
much 1
murderer 1
name 1
neighbour 1
nick 5
not 1
of 4
offices 1
on 2
only 1
opens 1
out 2
over 1
own 1
partly 1
performers 1
philanthropist 1
photograph 2
picks 1
police 2
realizes 1
really 1
reclusive 1
reveal 1
run 1
russian 1
sanity 1
saves 1
sees 1
seller 2
shows 1
side 1
simply 1
smile 5
smiles 1
snape 1
so 1
someone 2
speak 1
spots 1
stabbed 1
steamroller 2
still 1
story 1
that 5
the 34
their 1
them 2
then 1
there 1
they 4
thin 1
thrilling 1
tim 4
time 2
to 11
tragic 1
trying 1
two 1
under 1
up 1
used 1
visit 3
wants 1
was 3
what 1
when 2
which 1
who 4
with 1
witnessed 1
wonders 1
words 1
