3406082
/m/099v4q
/m/099v4q
Satyajit Ray

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction"}
a 5
activities 1
all 1
amount 1
an 2
and 3
another 2
apart 1
appears 1
are 2
aristocratic 1
aware 1
be 1
bhagwanagarh 1
bhudev 1
british 2
buyers 1
by 2
cassini 1
certain 1
chases 1
creation 1
cricket 1
criminals 1
cultural 1
domain 1
eber 1
eventually 1
everyone 1
ex 1
exmaharaja 1
family 4
famous 1
feluda 2
fictional 1
for 1
from 1
gifted 1
golapi 1
had 1
help 1
him 1
history 1
hong 1
however 2
important 1
in 10
india 3
interested 1
interesting 1
international 1
involved 1
is 2
it 2
italian 2
jishu 1
kando 1
kedarnathe 1
khuro 1
kong 1
maestro 1
maharaja 1
maharajas 1
many 1
meet 1
member 1
membersdisguised 1
more 1
mr 1
mukta 1
mystery 1
native 1
niyogi 2
not 1
of 11
one 1
out 1
painting 2
part 1
patronizing 1
play 1
plays 1
power 1
prince 1
princes 2
prominent 1
promoting 1
protection 1
rahashya 1
raj 1
ray 1
relative 1
role 1
rupnaryangarh 1
satyajit 1
series 1
singh 2
social 1
solving 1
steals 1
strangerwho 1
succeeds 1
suraj 1
surprise 1
tarini 1
the 19
their 1
them 1
there 2
they 1
though 1
tintoretto 1
tintorettor 1
to 3
turns 1
under 1
value 1
waiting 1
was 1
way 1
we 1
were 1
with 1
within 1
young 1
