6857709
/m/0gsx27
/m/0gsx27
Charles Stross
2006-05-16
a 7
activities 2
and 5
any 1
apparatus 1
are 3
at 2
back 2
beckstein 1
been 1
book 1
but 2
circumscribed 1
clan 4
cop 1
couple 1
criminal 1
dated 1
depth 1
end 1
enough 2
escape 1
explored 1
feathers 1
first 1
fleming 1
for 1
force 1
gets 1
government 1
has 2
head 1
help 1
her 4
herself 1
him 1
his 1
holding 1
implications 1
in 5
installment 1
into 1
investigating 1
involving 1
is 1
isolated 1
justice 1
keeps 1
manages 1
member 1
mike 2
miriam 2
moral 1
most 1
not 1
occasional 1
of 7
on 1
one 1
outside 1
parallel 1
plans 1
point 1
prisoner 2
pulled 1
quickly 1
references 1
ruffled 1
security 3
she 3
short 1
spends 1
stirred 1
story 1
strongly 1
subplot 1
surveillance 1
system 1
task 1
that 2
the 10
there 2
thereafter 1
they 1
this 1
time 2
times 1
to 3
travel 1
trouble 2
turned 1
two 1
unable 1
unchaperoned 1
uncle 1
up 1
virtual 1
well 1
who 2
with 1
world 1
