1363312
/m/04wv93
/m/04wv93
Mervyn Peake
1959
a 26
across 1
affair 1
again 1
all 1
alone 2
also 2
although 2
an 4
and 13
animals 1
another 1
antiquity 1
anything 1
around 1
as 4
at 1
attempts 1
bad 1
beauty 1
because 2
befriends 1
beggar 1
black 1
blow 1
body 1
book 1
bright 1
bumbles 1
but 1
by 2
canals 1
canoe 2
car 1
castle 4
cheeta 5
childhood 1
circled 1
city 2
comes 1
confirmed 1
confirms 1
contrast 1
contrives 1
covered 1
crumbling 2
daughter 1
derelicts 1
described 1
desert 1
desire 1
dies 1
different 1
direction 1
down 2
drives 2
duties 1
earl 1
eats 1
effort 1
elaborate 1
encounter 2
end 2
equipped 1
even 1
eventually 1
exists 1
faceless 1
factory 2
father 1
favor 1
fever 1
filled 2
finds 1
first 1
fishermen 1
flees 1
foiled 1
follows 1
for 6
forget 2
former 1
found 1
from 1
gets 1
giant 1
girl 1
give 1
go 1
gormenghast 4
guns 1
has 5
hates 1
having 1
he 14
hearing 1
helicopter 1
her 6
high 1
highway 1
him 1
himself 1
his 9
home 2
horde 1
horrendously 1
house 1
hundred 1
i 1
in 9
incarnate 1
independence 1
informs 1
insane 1
into 1
inventions 1
is 9
itself 1
journey 1
juno 1
just 1
kind 2
knew 1
knowledge 1
large 1
later 1
left 1
life 1
lightbulb 1
like 1
lives 1
lover 1
lure 1
lusts 2
man 1
manages 1
me 1
medieval 2
meets 1
men 1
metalplated 1
missing 1
modern 2
molusk 1
money 1
months 1
moon 1
murder 1
muzzlehatch 4
mysterious 1
named 2
nevertheless 1
new 1
not 1
note 1
novels 1
of 9
off 1
officers 1
on 2
once 1
ostensibly 1
other 1
outcasts 1
outside 1
painter 1
persons 1
pipes 1
plan 1
police 1
previous 1
probably 1
reader 1
recreate 1
relationship 1
return 1
revenge 1
river 2
rock 1
row 1
runaways 1
runs 2
saluting 1
satellite 1
science 1
scientist 1
second 1
see 1
set 1
several 1
shall 1
sharkshaped 1
she 2
shocked 1
silent 1
skyscrapers 1
slips 1
smells 1
some 1
someone 1
spends 2
spent 1
state 1
story 1
strikes 1
surprise 1
talks 1
television 1
tells 2
tempted 1
that 6
the 19
their 1
then 1
there 2
this 1
through 2
tightlaced 1
time 3
times 1
titus 8
to 11
tower 1
two 1
underground 1
underriver 1
unpleasant 1
until 1
up 1
us 1
uses 1
vestal 1
virgins 1
walks 1
wandering 2
wasteland 1
where 2
who 6
with 6
woman 1
workers 1
world 1
would 1
yet 1
you 1
your 1
zoo 1
