6004380
/m/0fk60v
/m/0fk60v
Tim Pratt
2005-11-29
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0hfjk": "Western", "/m/05hgj": "Novel"}
18 2
a 20
able 5
about 5
according 1
action 1
adventure 1
after 1
again 1
alice 7
all 5
already 1
also 2
altered 1
although 1
ambushed 1
americans 1
amongst 1
amount 1
an 8
and 45
animated 1
another 1
answers 1
anticipating 1
any 1
apparent 1
appearance 1
area 1
areas 1
art 2
artist 2
as 4
ask 1
asked 1
asking 1
asks 1
assistant 1
assistants 1
at 5
attack 1
avoid 1
back 3
bat 1
be 3
beach 1
became 3
because 2
become 3
becomes 3
beej 8
been 1
before 2
begin 1
being 6
best 1
blamed 1
blazed 1
body 1
book 4
both 1
boys 1
bugs 1
burn 1
but 5
by 8
came 2
can 3
capture 1
carsized 1
case 1
cell 1
chaos 1
circumstances 1
claiming 1
claims 1
closed 1
closer 1
coast 1
coastal 1
coffee 6
coffeeshop 1
college 1
come 1
comic 4
coming 1
confront 2
connects 1
control 2
county 1
create 3
created 4
cruz 5
curiosity 1
curious 1
dawned 1
day 1
decided 1
declares 1
defeat 1
demanded 1
denis 6
depicted 1
destroy 2
destroyed 2
destroying 2
developed 1
did 1
different 1
dirty 1
disappointed 1
discovered 1
disintegrated 1
distinctive 1
do 1
does 1
doing 1
dominated 1
done 1
door 11
doors 1
downtown 1
dreams 1
dropout 1
due 2
earlier 1
earth 1
earthquake 5
east 1
encounter 3
encountered 1
encounters 1
enemies 1
enforcement 1
enter 2
entering 1
enveloped 1
environment 1
eternally 1
even 1
everyone 2
everything 2
evil 1
exactly 1
explains 2
fears 1
feels 1
felt 1
fighting 1
figure 1
find 2
finds 1
fire 2
firebombing 1
firing 1
first 1
floating 1
focuses 1
for 2
found 3
free 2
freed 1
friend 1
from 4
frustrated 1
fulfilled 1
fused 1
gangsterstyle 1
garamond 9
genius 6
get 2
getting 1
gives 1
go 2
goal 1
god 8
goddess 1
graduate 3
ground 1
group 2
guardian 1
gun 1
had 5
happened 2
has 3
have 5
havoc 1
he 5
held 1
help 1
hence 1
henchmen 1
her 17
hero 1
him 5
his 8
homelesslike 1
how 3
however 4
if 4
imprison 1
imprisoned 1
in 24
incident 1
increasingly 1
instantly 1
instead 1
interested 2
interesting 1
interests 1
into 11
is 25
it 7
its 1
jane 9
jonathan 12
killing 1
kind 3
kitchen 1
knew 1
know 2
knowing 2
knowledgeable 1
last 1
later 1
learning 1
left 1
legend 1
lesbian 1
life 1
like 4
lindsey 10
local 1
located 2
loci 6
loma 2
looking 1
lover 3
made 2
maintained 1
major 1
make 1
managed 1
manages 1
manipulate 2
manipulating 1
many 1
marzi 20
marzipan 1
mazri 1
mccarty 1
means 1
meant 1
meanwhile 2
meet 1
menacing 1
metal 1
migrating 1
missing 2
mission 1
monstrous 1
more 5
morph 1
mortal 1
motorcycle 2
moved 1
mud 2
mudslide 2
mural 2
murals 6
must 2
name 1
named 3
native 1
natives 1
need 1
night 1
no 2
normal 1
not 5
nothing 1
now 1
numerous 1
of 29
on 11
once 3
one 2
open 1
opened 1
opening 1
oracle 4
order 1
other 1
out 4
outgoing 1
outlaw 24
outside 3
over 2
own 4
painted 1
part 2
parts 1
people 1
persona 1
personal 1
perspective 1
persuade 1
pieces 1
place 1
placed 1
pleased 1
plus 1
point 1
popular 1
power 1
powers 1
presence 1
present 2
prieta 2
prison 1
prisoner 1
problems 1
project 1
providing 1
pulled 2
put 3
pyro 1
question 1
rangergirl 2
rattlesnake 1
ray 3
reality 8
realization 1
realize 2
realized 3
realizes 1
realm 4
recent 1
recently 1
recruited 1
regular 2
reminiscent 1
rented 1
resurrect 1
return 2
revealed 1
revive 1
ride 1
riding 1
roaring 1
room 6
runs 1
saloon 1
saloons 1
same 1
santa 5
savage 1
save 2
scorpion 1
see 1
sees 1
serving 1
set 1
setting 3
shapes 1
she 16
shifts 1
shop 5
should 1
showdown 2
since 4
situation 1
slowly 1
some 4
something 2
soul 1
sphinx 1
stab 1
stay 1
stop 1
storage 5
stories 1
strange 2
student 3
stunned 1
subject 1
such 1
sudden 1
suddenly 1
summoned 1
supposed 1
surreal 2
surroundings 2
takes 1
talk 1
teacher 1
temple 2
terms 1
that 22
the 107
their 2
them 2
themselves 3
then 6
there 6
therefore 1
these 1
thesis 1
they 10
things 2
thinking 1
this 11
three 3
through 3
throughout 1
time 1
title 1
to 48
together 1
tommy 1
took 1
torso 1
town 1
transformed 1
transport 1
two 2
uc 1
ultimate 1
unconscious 1
under 1
unknown 3
unleash 2
unleashed 1
unravel 1
up 1
upon 1
upstairs 1
urge 1
urges 1
use 1
usually 1
various 2
villainous 1
visits 1
walked 2
wants 1
was 26
way 1
ways 1
weapons 1
well 1
went 3
were 2
west 1
western 4
what 3
when 2
where 2
which 6
while 4
who 12
whoever 1
why 1
wild 2
will 1
willingly 1
wing 1
with 6
within 1
work 1
works 2
world 4
would 7
