21350290
/m/05f93xm
/m/05f93xm
Danny Wallace

a 6
aliens 1
and 3
attends 1
bbc 1
believes 1
built 1
bussay 1
by 2
card 1
career 1
challenge 1
credit 1
danny 1
egypt 1
every 1
everything 1
executives 1
for 2
freelance 1
furthers 1
go 1
group 1
he 2
his 2
in 3
internet 1
invitation 1
london 1
mailbox 1
meetings 2
moreas 1
offers 1
on 4
out 1
pamphleteers 1
producer 1
pyramids 1
radio 1
saying 1
says 3
simple 1
solicitations 1
stranger 1
street 1
stuffing 1
takes 1
that 1
the 6
three 1
to 4
town 1
uttered 1
wallace 1
with 2
words 1
year 1
yes 5
