6155879
/m/0ft3bd
/m/0ft3bd
Samuel Beckett
1975

227 1
a 76
about 4
above 1
according 1
across 1
act 2
actual 1
actually 1
added 1
additionally 1
address 1
addresses 1
adjective 1
after 5
against 1
age 2
ageless 1
ajar 1
all 6
alone 1
along 4
already 3
also 2
alter 1
although 3
always 2
amen 1
amy 8
amys 1
an 11
anagram 1
and 36
anglican 1
another 2
answers 2
any 3
anything 1
apparently 1
apparition 1
appear 1
are 8
arm 1
arms 2
as 18
ashes 1
asked 4
asks 4
aspect 1
aspects 1
association 1
at 9
attached 1
audience 3
aware 1
back 3
ballet 1
bare 2
barely 1
be 23
because 4
beckett 15
becketts 1
become 1
becomes 2
been 7
before 3
began 3
begin 1
beginning 2
begins 3
begun 1
being 2
beings 1
bell 3
below 1
best 2
between 1
biblical 1
billie 3
bit 1
body 1
born 3
borne 1
both 3
bowed 1
business 1
but 9
by 10
called 2
can 6
carpeted 1
carry 2
centre 1
certain 2
changed 1
child 1
chimes 1
chosen 1
church 3
clasping 1
clearly 2
close 1
cobweb 1
cognizant 1
cold 1
coldness 1
come 3
comes 2
comforts 1
comparable 1
condemned 1
connection 1
consciousness 1
considered 1
considering 1
constantly 1
continues 1
conversation 1
convinced 1
cord 1
correspondingly 1
corridor 1
costume 2
could 3
covers 1
create 1
creating 1
creation 1
critical 1
cross 2
crossbeam 1
crossed 1
crucial 1
curious 1
daily 1
darker 2
darkest 1
daughter 8
day 1
dead 4
defined 1
describe 1
described 1
describes 1
description 1
detailed 1
details 1
dialogue 1
dictum 1
did 1
didnt 1
difference 1
different 1
dim 1
directly 1
disconnected 1
discover 1
distinctly 1
does 3
done 3
door 4
down 4
draft 1
drafts 1
drag 1
dramatisation 1
dramatized 1
dressinggown 1
dressings 1
during 4
dying 1
each 6
earlier 3
earth 1
echo 1
ego 1
else 2
emerges 1
end 5
ended 1
endless 1
ends 1
energy 2
enough 3
ensure 1
enters 1
entire 1
entirely 1
entity 2
especially 1
even 1
evensong 1
event 2
ever 1
every 1
everything 3
exactly 2
