1376628
/m/04xvdx
/m/04xvdx
Craig Thompson
2003-07-23
a 6
abuse 2
adolescence 1
adopted 1
adult 2
adulthood 1
after 2
age 1
also 1
although 1
and 23
appearance 1
are 1
arrange 1
artistic 1
as 1
associate 1
at 3
attic 1
away 1
beautiful 1
because 2
become 2
begins 1
ben 1
between 1
bible 1
biological 1
blankets 1
bonds 1
both 1
breaks 1
brother 2
bullies 1
but 1
by 3
camp 1
cant 1
captivates 1
care 1
child 1
childhood 3
childhoods 1
christianity 1
chronicles 1
chronologically 1
close 2
comes 2
coming 1
conflict 1
conflicts 1
consisting 1
continues 1
craig 2
deal 1
dependent 1
describing 1
destroys 1
device 1
different 1
during 2
elsewhere 1
ends 1
ever 1
every 1
everything 1
except 1
experience 2
experiences 1
extremely 1
familial 1
family 3
feels 3
find 1
finding 1
finds 1
first 2
fit 2
flashbacks 1
for 2
from 3
girl 1
given 1
group 1
had 2
handle 1
harassment 1
hard 1
he 12
helps 1
her 7
hes 1
him 4
himself 2
his 16
home 3
house 1
identity 1
ignored 1
in 7
include 1
includes 1
infant 1
inseparable 1
interesting 1
is 4
it 2
laura 2
leaves 1
life 2
literary 1
love 2
loves 1
made 1
major 1
marked 1
meets 1
memento 1
mentally 1
michigan 1
misfit 1
more 1
moves 1
niece 1
of 8
often 1
old 1
on 1
one 2
order 1
other 1
out 1
overly 1
own 2
parallel 1
parents 3
past 1
peace 1
peers 1
person 2
physical 2
possessions 1
preteen 1
quilt 1
raina 3
rainas 2
rapport 1
regarding 1
rekindles 1
relationship 4
relationships 2
religion 1
religious 1
responsibility 1
retarded 1
returns 1
sarah 2
school 1
seemingly 1
separated 1
several 1
sexual 1
sexuality 1
she 4
sibling 2
siblings 1
sister 1
soon 1
spend 1
spiritual 1
spirituality 1
start 1
staying 1
stores 1
story 1
stronger 1
take 1
teen 1
teens 1
terms 1
the 11
their 5
them 2
themes 1
then 1
they 1
thompson 5
those 1
though 2
through 1
to 11
together 1
two 2
typical 1
up 1
uses 1
verbal 1
very 1
weeks 1
which 1
while 2
who 1
will 1
winter 1
wisconsin 1
with 12
work 1
written 1
years 3
young 2
younger 1
