5853789
/m/0f93z8
/m/0f93z8
Philip K. Dick
1994
{"/m/05hgj": "Novel"}
14 1
145 1
abandon 1
affairs 1
after 1
again 1
american 1
an 1
and 3
another 1
arrival 1
back 1
barbara 4
becomes 1
before 1
behind 1
but 2
carl 3
chinese 3
communists 1
company 1
does 1
final 1
fitter 1
handwritten 1
has 1
have 1
her 2
him 2
his 1
in 6
interested 2
involved 1
is 3
leaving 1
lost 1
mahler 1
mao 1
matured 1
more 2
of 3
one 1
operations 1
oversee 1
people 1
personal 1
philosophy 1
prepares 1
previously 1
reading 1
seducing 1
sex 1
she 2
shortly 1
states 1
succeed 1
than 1
the 4
their 1
they 1
three 1
tildon 1
to 4
transitional 1
united 1
vernon 2
victory 1
virginity 1
volume 1
were 1
when 1
who 1
with 1
younger 1
zedong 1
