102540
/m/0pyl4
/m/0pyl4
Christopher Moore
1997
a 10
accepts 1
advantage 1
adventurous 1
air 1
allies 1
along 1
an 2
and 5
as 1
at 1
bat 1
be 1
blacklisted 1
by 2
cargo 2
case 1
causes 1
character 1
climax 1
company 2
cosmetics 1
crashes 1
cult 1
developed 1
doctor 1
doctormissionary 1
during 1
establishment 1
event 1
eventually 1
fact 1
fallen 1
filipino 1
flying 1
for 1
from 3
fruit 1
gruesome 1
harbored 1
have 2
having 1
he 1
his 1
horrible 1
ii 1
immorality 1
in 1
influence 1
is 1
island 4
japan 1
leads 1
lucrative 1
main 1
male 1
micronesian 1
moves 1
natives 1
navigator 1
of 6
offer 1
on 1
pilot 1
plane 1
remote 1
result 1
runway 1
secret 1
sex 1
shock 1
situation 1
so 1
states 1
suspenseful 1
taken 1
talking 1
that 2
the 11
there 2
this 1
to 5
transport 1
transvestite 1
tuck 5
tucker 1
uncovers 1
under 1
united 1
war 1
while 1
who 2
wife 1
with 1
world 1
