4904168
/m/0ctf0b
/m/0ctf0b
Bernard Cornwell
2006-05-22
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
878 1
881 1
a 8
abbey 1
adviser 1
again 1
against 5
agile 1
agreed 1
alfred 4
allowing 1
allows 1
along 1
although 1
an 2
and 25
are 8
army 3
arrive 1
as 2
assistance 1
assisted 1
attempt 2
avoid 1
back 1
band 1
bebbanburg 3
become 1
becomes 1
been 2
before 1
befriends 1
being 1
beocca 1
best 1
betrayed 1
bid 1
build 1
by 9
camp 1
capture 1
cast 1
central 1
certain 1
chained 1
chases 1
childhood 1
christ 1
claim 1
climb 1
combat 1
commander 1
complete 1
conquered 1
control 2
convinced 1
convinces 1
court 1
cruel 1
cumbraland 2
danish 3
danishheld 1
dark 1
darkness 1
dead 1
disarray 1
discovered 1
disguises 1
duel 1
dunholm 7
during 1
eleven 1
embassy 1
ends 1
enemies 1
engaged 1
enter 1
eoferwic 2
escort 1
events 1
factions 1
falls 1
family 1
father 1
fetch 1
field 1
finan 1
find 2
for 3
force 1
forces 1
former 1
formerly 1
fort 1
fortress 1
frees 1
friend 1
from 2
gate 2
gisela 3
guhtred 1
guthred 13
had 1
has 2
haunt 1
he 7
held 1
her 1
herself 1
hild 3
hill 1
him 2
himself 2
hired 1
his 9
hoard 1
household 1
in 11
including 1
into 4
is 6
it 1
ivarr 4
ivarsson 1
jnberht 1
killed 1
kills 1
king 2
kingdom 1
kjartan 7
landfall 1
lands 1
last 1
leads 1
learn 1
led 2
leper 1
lfric 6
lord 1
love 1
lover 1
main 1
make 2
makes 1
married 1
meets 1
men 4
merchant 1
message 1
monk 1
native 1
near 1
new 1
niffelheim 1
no 1
north 2
northumbria 4
not 1
novel 1
now 1
oar 1
of 16
off 1
on 2
once 1
oneeyed 1
open 1
orders 1
peace 1
pens 1
plan 1
power 1
promised 1
provokes 1
proxy 1
pursued 1
ragnar 6
ravaged 1
recommit 1
red 1
region 1
remains 1
rescue 2
rescued 1
return 2
returns 1
revenge 1
rival 1
rules 1
safety 1
saxons 1
sceadugengan 1
scots 1
seeking 1
send 2
sent 2
she 1
ship 4
silver 1
since 1
single 1
sister 2
sits 1
slave 2
slavery 1
sneak 1
spent 1
steapa 2
steappa 1
stops 1
stronger 1
stronghold 1
support 2
supports 1
sven 6
swordsman 1
take 2
that 3
the 30
their 1
them 1
they 6
thirty 1
thorguild 1
throne 1
through 2
thyra 1
to 29
trading 3
trains 1
transfers 1
travel 1
travels 1
troops 2
two 1
uhtred 16
uncle 3
under 1
unsuccessful 1
upon 1
use 1
used 1
via 1
warrior 1
warriors 1
was 2
water 1
way 1
well 1
wessex 1
which 1
who 4
will 1
winning 1
with 7
without 1
would 1
years 1
yet 1
york 1
