2053979
/m/06hvtq
/m/06hvtq
Thomas Kyd
1592

a 6
act 1
afraid 1
after 1
against 2
alive 1
allow 1
along 1
ambassador 1
amorous 1
an 4
and 23
andrea 6
appeal 1
appointed 1
are 1
arranges 1
arrest 1
as 3
assignation 1
at 2
attempts 2
audience 1
away 1
balthazar 12
battle 1
be 1
been 1
before 2
beginning 1
begins 1
behaviour 1
behind 1
being 1
believe 1
belimperia 12
bemoans 1
best 1
betrayed 1
between 1
bites 1
blood 1
body 1
bribes 1
briefly 1
busy 1
but 3
by 4
captured 3
castile 1
charge 1
cheats 1
chorus 1
claiming 1
clear 1
combined 1
comeuppance 1
comforts 1
complicity 1
concerning 1
concludes 1
convince 2
convinces 1
convincing 1
courtship 1
cover 1
credit 1
dagger 1
deal 1
death 3
defeated 2
delivering 1
deserving 1
desire 1
despite 1
digs 1
discovers 1
dispute 1
does 1
driven 1
drops 1
due 1
duke 2
during 1
each 1
early 1
enmity 1
entertainment 1
entirety 1
essentially 1
eternal 1
excellent 1
expects 1
fact 1
fake 1
falls 1
family 2
father 2
feelings 1
feigns 1
find 1
for 5
former 2
found 2
friend 1
from 3
front 1
furthermore 1
get 1
ghost 1
goes 1
gone 1
ground 1
guilty 1
hanged 1
hangman 1
happens 1
has 7
having 1
he 7
help 1
her 7
herself 1
hieronimo 12
him 6
himself 2
his 18
hopes 1
horatio 11
in 10
inability 1
incoherently 1
informing 1
injustices 1
intends 1
into 1
is 10
isabella 2
it 2
jealousy 1
judge 1
just 1
justice 1
killed 1
killer 1
kills 2
king 7
knows 1
leader 1
leaves 1
lets 1
letter 2
limit 1
locks 1
lorenzo 16
losing 1
love 2
lover 2
mad 2
made 2
man 1
manages 1
marriage 1
marshall 1
missing 1
motivated 1
motive 1
murder 2
murdered 1
murderers 2
murders 1
nephew 1
new 2
noblemen 1
none 1
not 1
odd 1
of 16
officer 1
on 3
one 1
onstage 1
original 1
other 1
out 1
over 1
own 2
pardon 2
partial 1
partially 1
parties 1
past 1
peace 1
pedringano 6
perseda 1
persuades 1
place 2
plan 1
play 5
plot 2
portugal 2
portuguese 4
present 1
prevent 2
prior 1
procure 1
punishments 1
pushes 1
put 1
questions 1
ransom 1
rants 1
reassured 1
rebelled 1
reconciliation 1
refuses 1
regaining 1
repair 1
reveal 1
revenge 4
revisions 1
right 1
rival 1
royal 1
rule 1
satisfied 1
scene 1
see 2
seeking 1
sending 1
senses 1
sentences 1
serberine 1
series 1
servant 2
serve 1
she 1
silencing 1
sister 1
soliman 1
something 1
son 3
soon 1
spanish 2
spirit 1
splits 1
spoils 1
stab 1
stabbed 1
stages 1
subplot 1
succeeds 1
suicide 1
suitable 1
supplement 1
suspecting 1
take 1
taken 1
taking 1
talking 1
tell 1
tells 1
than 1
that 14
the 45
their 4
then 3
there 1
they 1
this 2
those 1
though 1
throughout 1
to 22
together 1
tongue 1
too 2
torment 1
torture 1
two 3
uncle 1
under 2
until 1
up 1
viceroy 5
victory 1
was 1
way 2
wealth 1
well 2
were 2
which 3
while 1
who 2
whom 1
wife 2
will 1
wishes 1
with 12
wits 1
would 1
written 2
