500708
/m/02hw3x
/m/02hw3x
Dave Wolverton
1989
3000 1
a 11
across 1
after 1
also 1
american 1
amputation 1
an 1
and 5
application 1
approached 1
are 2
arm 1
arrival 1
as 3
assassins 1
attack 1
attempt 1
attempting 1
attempts 1
away 1
baker 3
battle 2
between 1
bloody 2
board 2
booth 1
but 1
by 1
chaeron 1
chimeras 1
city 2
company 2
conquistadors 1
control 1
corporation 1
culminate 1
cultural 1
de 1
delta 1
described 1
describes 1
deserts 1
differences 2
earth 2
employers 1
employment 1
encountering 1
end 1
escaping 1
feria 1
fight 2
flees 1
for 1
forbidding 1
forces 1
from 2
future 1
gain 1
garza 1
gatun 1
genetically 1
get 1
hand 1
have 1
he 4
her 3
highlights 1
him 1
his 2
humans 1
in 5
incapacitated 1
instead 1
intense 1
interaction 1
is 6
it 1
japanese 3
kill 1
kilometers 1
la 1
lay 1
marian 1
mercenaries 1
mercenary 2
morphogenic 1
mostly 1
motoki 3
now 1
of 6
offered 1
on 6
orbital 1
osic 3
out 1
panama 1
pavonis 1
pharmacologist 2
place 1
planet 1
political 1
powerful 1
reaction 1
rebellion 1
refugiados 1
regrow 1
rejected 1
requires 1
right 1
rival 1
run 1
satellite 1
seizing 1
self 1
setting 1
settlement 1
settlers 1
she 1
shuttle 1
signifying 1
south 1
starship 1
state 1
story 1
stranger 1
stump 1
system 1
takes 1
tamara 2
tended 1
that 2
the 20
their 3
them 1
then 1
these 1
to 8
trained 1
training 1
transpires 1
traumatic 1
uncertain 1
upgraded 1
vast 1
which 2
who 6
wildlife 1
with 4
woman 1
yabajin 2
