3603632
/m/09p9xx
/m/09p9xx
Christopher Golden
2001-06-01
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
140 1
a 7
ability 1
acquire 2
after 1
against 1
alerted 1
all 2
allow 1
already 1
an 1
and 11
as 3
be 1
between 1
birthday 1
brought 1
but 1
cannot 1
capture 1
challenge 1
council 4
current 3
dangerous 1
dead 1
deal 1
decent 1
decides 1
demon 1
denmark 1
destroy 1
developed 1
down 2
drusilla 6
duo 1
earth 1
end 1
fight 1
find 1
for 2
fork 1
freyja 1
from 2
girl 1
girls 2
go 1
groups 1
grown 1
has 4
havoc 1
he 3
headquarters 2
her 5
herself 1
hideously 1
him 1
himself 1
hunts 1
ice 1
impatient 1
in 2
inhabitants 1
inside 1
into 1
is 3
it 1
killing 2
last 1
leaves 1
line 1
list 1
london 1
manifests 1
may 1
meanwhile 1
must 1
necklace 2
numbers 1
obsession 1
of 3
off 1
on 1
over 1
ravage 1
reflection 1
remaining 1
rescue 1
rescues 1
retrieve 1
runin 1
runs 1
sent 1
should 1
situation 1
skrymir 3
slayer 3
slayers 1
slayersinwaiting 4
sophie 4
spike 6
stop 1
strand 2
strike 1
the 24
them 1
there 1
they 1
thought 1
to 10
track 1
trek 1
tries 1
two 1
unfortunately 1
unhealthy 1
up 1
vampiric 1
view 1
was 1
watcher 4
way 1
well 1
when 1
where 1
which 1
while 2
who 2
will 2
with 3
wreaks 1
yanna 2
