11558104
/m/02rj2gx
/m/02rj2gx
Norman Spinrad
1966-07
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
50 2
a 29
able 1
access 1
accompany 1
actions 1
activate 1
activated 1
addition 2
adopt 1
advantage 2
against 1
ago 1
all 6
allow 1
allowed 2
allowing 1
alone 1
along 1
alpha 1
also 1
always 2
amazed 1
an 4
and 25
annihilating 1
announce 1
announces 1
another 3
answer 1
any 1
appearance 1
approached 1
approximately 1
are 9
areas 1
arks 2
arrives 1
arrogantly 1
as 9
ask 1
at 2
attack 2
attention 1
awaiting 1
back 1
barren 1
battles 2
batwing 1
be 9
because 1
becomes 1
been 1
before 1
behind 1
being 1
believe 1
believes 1
betray 1
better 1
between 1
big 1
billions 1
black 1
boasting 1
bombardments 1
braid 1
break 1
breast 1
breeding 1
brought 1
but 2
by 6
cabin 1
called 1
can 6
cannot 2
capable 1
care 1
cause 1
causing 1
cease 2
centauri 1
centuries 1
certain 1
chance 2
chapter 1
charismatic 1
chose 1
city 1
clear 1
close 1
closed 1
cohesive 1
colonies 2
colonists 4
colonized 1
come 1
comforts 1
comicopera 1
commander 1
compared 1
compares 1
computer 1
computercontrolled 1
computers 2
conduct 1
conference 2
conquer 1
conquered 1
conquering 1
contacted 1
costume 1
costumes 1
created 1
cult 1
dark 1
days 1
deadly 1
death 1
decades 1
deception 1
decide 1
decided 1
decisions 1
defeat 1
defences 2
defended 1
defenses 1
defensive 1
described 1
despite 1
destroy 2
destroyed 3
destroying 1
detail 1
developing 1
device 1
diameter 1
dictator 1
different 2
disadvantage 1
discovers 1
disengage 1
disgust 1
do 2
doog 1
doogs 3
dress 1
dressed 1
drive 2
duglaar 1
duglaari 19
early 1
ears 1
earth 3
effect 2
emblem 1
emergence 1
emotion 1
empire 1
employed 1
end 1
equal 1
escape 1
escort 1
especially 1
evacuated 1
even 1
ever 1
except 2
explode 2
explodes 1
express 1
eyes 1
fact 1
fail 1
failing 1
faster 2
feels 1
festooned 1
few 1
field 1
final 1
finds 1
first 1
fleet 6
for 7
fortress 2
from 5
ftl 2
fur 1
future 1
gain 1
galaxy 1
gamesmaster 1
gathering 1
glue 1
goading 1
gold 1
group 4
groups 1
guest 1
habitable 1
had 2
handsome 1
has 7
hating 1
have 11
having 1
he 10
her 3
herding 1
hierarchical 1
him 2
his 7
home 3
homeworld 1
horror 1
how 2
however 3
huge 1
human 1
humanity 3
humanoid 1
humans 2
humiliation 1
hundred 1
idea 1
if 3
illusion 1
important 1
imposed 1
in 18
incentive 1
includes 1
including 1
individual 1
inhabitants 1
innate 1
insisted 1
instruments 1
into 2
intuitively 1
involves 1
is 17
it 5
its 1
itself 1
job 1
journey 1
known 2
large 2
larger 1
last 1
later 1
launch 1
leader 2
leave 1
left 2
lift 1
light 3
likewise 1
liquidate 1
little 1
long 1
longdead 1
looking 1
lost 2
make 1
man 1
manipulating 1
many 2
massive 2
matter 2
medals 1
mercury 1
meters 1
military 2
mines 1
mission 2
more 2
most 2
mouthpiece 1
move 2
much 1
must 1
mysterious 1
naturally 1
navigate 1
necessary 2
neither 1
neutralizing 1
never 1
no 2
not 2
novel 1
now 2
nuclear 1
numbers 1
numeric 1
of 23
off 3
offer 1
offering 1
on 10
once 1
one 3
only 2
or 1
organic 1
overwhelm 1
pair 1
palmer 9
part 3
penetrates 1
people 2
pilot 1
places 1
planets 2
point 1
positioned 1
prepare 1
priests 1
probability 1
proceeding 1
projected 1
promised 1
psychology 3
putting 1
questions 1
race 2
races 1
raised 1
reach 1
reaches 1
real 1
reason 1
reemerge 1
refuse 1
relax 1
rely 1
relying 1
remains 1
resemble 2
responds 1
rest 1
retreats 1
returning 1
reunite 1
revealed 1
ribbons 1
ridiculous 1
risk 1
risking 1
robot 1
role 4
roles 1
roughly 1
ruler 3
sacrifice 1
sacrificed 1
safely 2
save 1
saviors 1
scanned 1
scheme 2
sealing 1
searched 1
see 2
seem 1
seems 3
sexual 1
ship 5
ships 6
shoot 1
show 1
side 2
simply 1
since 2
size 1
skilfully 1
skills 1
slower 1
slowly 1
small 2
so 3
society 2
sol 5
solar 2
solarian 1
solarians 16
some 1
soon 1
space 3
spaceships 1
specific 1
spiritual 1
spots 1
stand 1
star 5
stardrive 2
stars 1
starships 1
starve 1
stereotypically 1
stop 1
struck 1
suddenly 1
sun 1
sunburst 1
superior 1
superiority 1
superiors 1
supplied 1
surrender 1
system 6
systems 3
tactics 1
take 1
taken 1
takes 2
talents 1
technologies 1
telepaths 2
tend 1
than 7
that 19
the 100
their 8
them 7
themselves 1
then 2
they 19
this 2
thoroughly 1
threat 2
thus 1
time 1
to 47
together 1
too 1
tour 1
traveling 1
tribute 1
trick 1
tried 1
truce 1
two 1
understanding 1
uniform 3
unleashing 1
unless 1
use 3
used 2
very 1
vision 1
war 3
was 2
way 1
weakness 1
weapons 2
well 1
when 2
where 3
which 4
who 5
will 8
wish 1
wishes 1
with 11
without 1
woman 1
world 3
would 2
wrong 1
yet 1
