24249832
/m/07s46q5
/m/07s46q5
David Morrell
2006

a 24
abandoned 1
able 4
about 2
after 1
again 2
aged 1
ago 1
aims 1
alive 1
all 3
almost 2
amanda 5
among 1
amount 1
an 8
and 36
another 1
any 2
appears 3
are 3
area 1
arms 1
as 3
asks 1
assist 1
at 2
athletic 1
attacked 1
attractive 1
back 4
balenger 18
banister 1
barely 1
bathroom 1
be 1
beach 2
beats 1
been 4
before 1
begin 1
begins 2
behind 3
between 1
bleeding 1
bottom 1
break 2
bump 1
bury 1
but 7
by 9
came 2
can 1
capture 1
carlisle 5
carmine 1
case 1
causes 1
college 1
come 1
comes 1
complete 1
confusion 1
conklin 3
cora 5
corridor 1
couch 1
could 1
creepers 4
creeping 1
cry 1
danata 2
dark 1
dead 1
death 1
decapitated 1
decaying 1
decide 2
decides 1
die 1
disappeared 1
disappears 1
discover 2
discovering 1
distance 2
do 1
does 1
door 2
doors 1
down 1
earlier 1
ecstatic 1
elevator 1
elevators 1
ended 1
enough 1
escape 1
eventually 1
evidence 1
exercise 1
explorers 1
eyeing 1
face 1
fall 2
falls 1
find 7
five 2
floor 4
for 4
four 1
frank 1
frequent 1
friend 1
from 6
furniture 1
gangster 1
get 4
gets 1
gives 1
glory 1
go 3
got 1
group 4
guest 1
gun 3
had 1
handgun 1
happened 1
has 9
have 1
he 3
head 1
hear 2
help 2
hemophiliac 1
her 3
hidden 2
hide 1
him 7
himself 2
his 7
history 1
home 1
hoping 1
horror 1
hotel 7
husband 1
if 1
impaled 1
in 15
indeed 1
injured 1
injures 1
inside 2
insisting 1
intelligent 1
into 3
introduce 2
introduced 1
is 22
it 4
its 1
jd 4
kill 1
killed 3
kitchen 1
leads 1
leave 4
led 1
left 2
leg 1
likely 1
lives 1
living 1
long 2
longed 1
mack 3
made 2
make 1
man 2
manage 1
may 1
meets 1
member 1
men 1
monkey 1
morgan 1
morning 1
moves 1
movie 1
mysterious 1
mythical 1
name 1
named 2
nearby 1
never 1
next 1
notice 1
now 2
occupant 1
of 19
off 1
officer 1
old 1
on 3
once 1
one 1
only 4
open 1
opened 1
or 1
other 1
others 4
out 6
over 2
owner 1
paragon 5
paragons 1
piano 1
pictures 1
piece 1
played 1
policemen 1
pool 1
possibly 1
presence 1
primary 1
professor 4
ran 1
realize 2
reason 1
refuse 1
remembering 1
replies 1
reporter 1
restraints 1
returns 1
reveals 2
rick 5
ronnie 12
roof 1
room 2
rooms 3
runs 1
safe 1
safety 1
save 1
saying 1
says 1
screen 1
scuffle 1
seemingly 2
set 3
sewer 1
she 4
shock 1
shoot 1
shootout 1
shot 2
shotgun 1
shut 1
slat 1
slightest 1
so 1
some 1
something 1
song 1
soon 1
sound 1
spying 1
stairs 2
starts 1
steal 1
steps 1
still 2
stolen 1
stops 1
stories 1
students 1
studio 1
suddenly 2
suitcase 1
suite 3
supposed 1
sure 1
surrounded 1
sway 1
system 3
takes 1
target 1
tells 1
that 10
the 66
theatre 1
their 4
theirs 1
them 10
themselves 2
then 2
there 3
they 17
thing 1
things 1
this 3
though 2
three 5
through 2
throws 1
tie 1
tied 1
time 2
to 43
tod 8
told 1
toward 1
trapped 1
try 1
unable 1
unconscious 1
uncontrollable 1
under 3
underground 1
underneath 1
undetermined 1
unnoticed 1
until 1
up 5
upstairs 1
urban 1
urinating 1
vault 4
video 1
vinnie 8
walk 1
walked 1
wall 1
wander 1
was 4
waterbottles 1
waves 1
way 1
weep 1
welded 1
welding 1
were 2
what 1
when 5
which 4
while 2
whistling 1
who 7
whose 1
wire 1
wishes 1
with 3
woman 2
wooden 1
wounded 1
years 1
young 2
