10857266
/m/02qs5q_
/m/02qs5q_
Jules Verne
1884
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/05hgj": "Novel"}
243 1
486 1
a 10
about 1
accomplishment 1
achieving 1
across 1
afraid 1
african 1
africans 1
after 1
again 1
alice 7
almost 1
along 2
amass 1
and 13
animals 1
another 1
appears 1
are 1
artificial 1
artificially 1
as 4
asks 1
at 1
attempt 1
back 1
banquet 4
bardik 1
be 1
because 2
begs 1
brings 2
bursts 1
but 1
buy 1
by 4
captures 1
carat 1
caring 1
certificate 1
christened 1
claim 3
collapses 1
community 1
companions 2
confession 1
could 1
covered 1
cyprien 4
dada 1
daughter 1
day 1
decides 2
denied 1
devastated 2
diamond 11
diamonds 2
dies 1
dig 1
digging 2
disappearance 1
discovery 1
disease 1
disheartened 1
disintegrates 1
display 1
district 1
does 1
down 1
during 1
eligible 1
engineer 1
enraged 1
even 1
ever 1
experiment 2
falls 1
finds 2
flee 1
for 5
formation 1
fortune 1
found 1
french 1
g 1
gives 1
glad 1
gratitude 1
great 1
griqualand 1
griquland 1
hand 2
hands 1
happily 1
have 1
he 16
help 2
her 1
him 1
hired 2
hires 1
his 9
holds 2
honor 1
hung 2
hunt 1
in 8
is 14
it 2
john 2
lack 1
land 2
landowner 1
landslide 1
laundry 1
li 1
live 1
livelihood 1
love 1
make 1
making 1
man 1
manages 1
many 1
marriage 1
marry 1
mataki 8
member 1
midway 1
mine 1
miners 1
mining 3
money 1
more 2
moves 1
mr 6
next 1
no 1
not 2
of 15
off 1
offers 1
on 2
once 1
one 1
only 2
or 1
origin 1
original 1
ostrich 1
other 2
owner 1
partner 1
perish 1
prepare 1
proceed 1
produced 1
protagonist 1
ran 1
reason 1
recovery 1
rescue 1
returns 2
saved 1
saying 1
seems 1
set 1
shocked 2
so 1
south 2
star 2
states 1
stature 1
steel 1
stomach 1
stuck 1
studies 1
study 1
suitors 2
team 3
than 1
that 2
the 34
them 1
there 2
they 2
this 1
thomas 1
threatened 1
three 2
through 1
to 16
travel 1
two 1
unjustly 1
vandergaart 1
vanishes 1
veld 1
victor 13
was 3
watkins 6
way 1
wealthy 1
well 1
when 3
while 1
whoever 1
with 4
work 1
would 1
