10870835
/m/02qsm2m
/m/02qsm2m
Ira Levin

{"/m/014dfn": "Speculative fiction"}
1 1
165 1
173 1
2000 1
30 1
33 1
a 21
about 2
absence 1
accident 1
after 5
again 1
age 1
all 2
also 1
and 12
andy 7
apartment 2
apartments 1
are 1
as 3
assistants 1
at 2
be 2
becomes 2
bed 1
been 3
begin 1
begins 1
being 1
book 6
bram 1
bramford 2
building 1
but 3
by 2
call 1
called 1
candle 1
candles 3
car 1
care 1
cast 1
castevet 1
causes 1
causing 1
chance 1
characters 1
charitable 1
climax 1
coma 2
comes 1
comment 1
concerns 1
consorts 1
context 1
coven 4
creation 1
dakota 2
danger 1
deadly 1
deaf 1
demonic 1
died 1
discovered 1
disintegrate 1
distributed 1
do 1
down 1
dracula 1
dream 1
dust 1
ears 1
edward 1
endorse 1
entire 1
eve 1
even 1
events 1
evil 1
existence 1
facility 1
fact 1
fall 1
father 1
finds 1
first 5
for 4
fought 1
foundation 3
friend 1
from 4
girlfriend 1
good 1
gradually 1
guy 4
has 5
have 2
he 6
heart 2
hell 2
help 1
her 8
him 2
his 3
husband 1
hutch 2
hutchins 1
i 2
immediately 2
in 12
influence 2
intention 1
into 1
is 9
it 1
jesus 1
judith 1
kharyat 1
killed 2
knives 1
known 1
last 1
leader 1
leaders 1
learns 1
lighting 1
lit 1
live 1
lived 1
long 2
makes 1
member 1
members 2
mention 1
midnight 1
millionaire 1
mind 1
minnie 1
model 1
mules 1
mulesoften 1
murdered 1
national 1
nearly 1
new 1
not 1
nothing 1
novel 2
november 1
now 1
of 12
offers 1
on 3
or 1
out 1
parentage 1
particles 1
party 1
people 1
pins 2
planned 1
playfully 1
president 1
prevent 1
propos 1
purpose 1
questions 1
raised 1
reading 1
real 1
reassures 1
receives 1
release 1
religious 1
remarks 1
remove 1
rentfree 1
republican 1
result 1
retarded 1
returns 1
reveal 1
revealed 2
revealing 1
riddle 1
right 2
roast 2
roman 1
rosemary 15
s 1
said 1
same 1
say 1
sees 1
sensation 1
sense 1
sequel 1
seriously 1
she 5
side 1
silver 1
since 1
slightly 1
son 1
spectacularly 1
spell 1
stoker 1
story 1
such 1
supporters 1
suspect 1
suspects 1
taken 1
takes 2
term 1
that 8
the 34
their 1
then 2
they 3
thing 1
this 1
threatens 1
throughout 1
to 16
trying 1
turn 1
twelve 1
up 3
usher 1
various 1
virus 1
visit 1
vivid 1
wakes 2
waking 2
want 2
warning 1
was 3
wear 1
wearing 1
well 1
when 3
where 1
which 1
who 3
why 1
with 8
woodhouse 1
work 1
worldwide 2
would 1
year 3
