10890358
/m/02qt4y9
/m/02qt4y9
Elizabeth Laird

a 12
adjust 1
after 3
afterward 1
all 1
an 2
and 15
another 1
anything 1
apart 1
apply 1
apprehension 1
area 1
army 1
arrive 2
arrives 1
as 2
ashti 5
at 2
authorities 1
available 1
back 2
baghdad 1
be 1
become 1
becomes 1
been 3
begins 1
being 2
better 1
between 1
bombed 1
boring 1
boy 1
broad 1
brother 1
but 1
camp 1
care 1
changes 2
come 1
comfortable 1
concealing 1
connections 1
conscription 1
contact 1
country 2
cousin 1
culture 1
day 1
daylight 1
despite 1
difficult 1
displaced 1
does 2
drastically 1
ends 1
endured 1
english 1
enters 1
escape 3
eventually 1
every 1
experienced 1
experiences 1
family 8
father 2
fearing 1
fighter 1
fighters 1
find 1
finds 1
first 1
following 1
for 5
forced 1
forever 1
form 1
friend 1
friendly 1
friends 1
from 4
get 1
gets 1
getting 1
go 1
gradually 2
grandmother 1
granted 1
grows 1
had 1
hard 1
has 6
have 1
hawrami 1
he 1
hear 1
help 2
her 9
hero 1
hiding 1
home 2
horrors 1
house 1
however 2
ill 1
improves 1
in 14
including 1
indirectly 1
injured 2
injuring 1
innocent 1
into 3
intruder 1
iran 4
iranian 1
iraq 3
iraqi 1
is 6
jobs 1
join 1
kak 6
khan 6
language 1
last 1
learns 1
leave 1
less 1
life 4
lifestyle 1
like 1
live 1
london 3
make 1
manages 4
many 1
moment 1
months 2
morning 1
mother 2
mountains 3
mullah 1
murgas 2
must 2
muted 1
needed 1
neighbour 1
new 5
newspaper 1
night 1
no 1
not 2
of 5
offers 1
old 1
on 1
one 2
ongoing 1
only 1
out 1
overjoyed 1
peaceful 1
pesh 2
place 2
plan 1
quickly 2
reaction 1
reading 1
realizes 1
recover 1
recovers 1
refugee 2
refugees 1
repeatedly 1
resistance 2
rest 1
return 1
returning 1
returns 2
reveals 1
risky 1
rostam 2
runs 1
sad 1
savings 1
school 2
several 2
she 7
shock 1
shoot 1
shootings 1
shows 1
sight 1
sister 1
some 1
son 1
soon 3
soran 6
status 1
stay 1
stunned 1
suddenly 1
supporting 1
suspect 1
take 1
tara 17
teriska 6
than 1
that 6
the 26
their 3
them 1
they 4
thinking 1
this 1
though 1
through 2
time 1
to 19
together 1
traumatic 1
troops 1
turns 1
uncle 1
until 2
up 2
used 1
using 1
very 2
village 2
war 1
way 1
well 1
when 7
where 2
while 1
who 2
will 1
willing 1
wind 1
with 3
witnessed 1
witnesses 1
years 1
younger 1
