3184881
/m/08xtgy
/m/08xtgy
Pierre-Louis Rey
1886
1863 1
a 20
about 2
acadmie 1
accepted 1
accompanying 1
actual 1
adding 1
advocates 1
after 1
again 1
air 4
also 1
although 1
an 3
and 26
annual 1
architect 1
are 2
art 3
artistic 3
artists 4
as 7
at 3
atmosphere 1
attend 1
back 1
background 1
based 1
bather 1
be 1
beauxarts 1
becomes 1
before 1
begins 2
best 1
better 1
body 1
bold 1
bongrand 1
bourgeois 1
breakup 1
but 2
by 3
canvas 1
captures 1
center 1
challenging 1
child 1
childhood 1
chooses 1
christine 4
circle 2
cit 1
claude 11
collapses 1
combine 1
community 2
comrades 1
concentrated 1
confreres 1
considerable 1
constructs 1
contemplates 1
contrast 1
contributes 1
conventional 1
convinces 1
coopted 1
country 1
course 1
create 2
creation 1
critical 1
criticism 1
de 1
dead 1
decaying 1
deepens 1
deliberately 1
depicts 1
depressed 1
depression 1
des 3
destroy 1
dies 1
disaster 1
display 1
djeuner 1
does 1
dressed 1
dubuche 2
edouard 1
effect 1
effort 1
elder 1
elements 1
end 1
enterprise 1
entitled 1
equally 1
especially 1
established 1
establishment 2
everyday 1
execution 1
family 1
favor 1
female 3
figure 1
financial 1
finds 1
for 6
foreground 1
free 1
friends 4
from 3
front 1
fully 1
funeral 1
further 1
gathers 1
general 1
generates 1
genius 1
grows 1
half 1
hallegrain 1
hangs 1
has 5
have 1
he 9
health 1
helped 1
him 3
himself 1
his 20
historical 1
huge 1
ideas 1
ile 1
imagination 1
in 15
inability 1
incongruous 1
incorporating 1
inspired 1
intent 1
interest 1
into 3
invokes 1
is 10
it 2
its 2
la 1
landscape 1
lantier 1
last 1
lastditch 1
le 1
leads 1
lesser 1
lherbe 1
life 1
like 2
likeminded 1
lives 1
louis 1
love 1
made 1
madness 1
making 1
man 1
manet 1
marriage 2
married 1
massive 1
masterpiece 3
masterpieces 1
meaningful 1
mental 1
middleclass 1
model 1
modern 1
more 7
most 1
moves 1
much 1
music 1
mythological 1
new 1
no 1
not 2
notably 1
novelist 1
novels 1
nude 4
nudes 1
nurture 1
obsessed 1
obsession 1
of 17
old 1
on 3
one 1
ones 1
only 1
open 3
opting 1
or 2
outcries 1
outcry 1
outdoors 1
over 2
paint 3
painted 1
painter 2
painting 4
paintings 1
paris 1
particular 1
passion 1
people 1
picture 1
pierre 1
places 1
plein 1
politicking 1
popular 1
project 1
provoked 1
pursues 1
real 2
recognized 1
refuss 2
rejected 2
religious 1
repaints 1
return 1
revelled 1
revolutionary 1
reworks 1
ridiculed 1
sake 1
salon 5
sandoz 4
scaffolding 1
school 1
science 1
security 1
series 1
served 1
shaking 1
sidelining 1
slow 1
small 1
soak 1
son 2
soul 1
spectacular 1
spirals 1
stability 1
stark 1
starts 1
state 1
statesman 1
studio 1
subject 1
subjects 2
success 1
successfully 1
sur 1
talent 1
than 1
that 1
the 35
their 2
them 1
then 1
they 1
this 2
three 2
to 20
traditional 1
triumph 1
turns 1
two 1
unable 2
understand 1
until 1
up 2
view 1
viewer 1
vision 1
watches 2
what 1
when 1
where 1
which 2
who 4
whole 2
whom 1
wishedfor 1
with 2
work 1
world 1
writing 1
years 1
zola 2
