1420716
/m/0503dr
/m/0503dr
C. S. Forester
1929
{"/m/02xlf": "Fiction"}
2 1
3 1
a 9
able 1
action 1
actions 1
agatha 2
already 1
although 1
ammunition 1
amount 1
an 2
anchorage 1
and 11
are 1
as 5
ashore 1
battery 1
be 1
bear 1
benefits 1
between 1
birth 1
british 2
brought 1
brown 10
bushes 1
by 3
captain 3
careened 1
cdr 1
central 1
charybdis 2
chooses 1
could 1
country 1
crewmembers 1
cruiser 2
damaged 1
delayed 1
describes 1
description 1
difficult 1
do 1
duty 1
dying 1
each 1
edwardian 1
england 1
enough 2
ensure 1
escape 1
escapes 1
eve 1
eventually 1
exchange 1
exposed 1
fails 1
father 1
fictitious 2
first 1
flashback 1
for 1
force 1
forester 1
from 1
galpagos 1
german 3
ground 1
half 1
having 1
he 4
her 5
hero 1
him 1
his 7
hms 1
hull 1
i 1
impenetrable 1
in 9
instilling 1
into 2
ironically 1
is 8
island 2
islands 1
isolated 1
it 2
joins 1
know 1
learns 1
liaison 1
long 1
lt 1
lucky 1
main 1
makes 1
making 1
men 1
mission 1
mortally 1
mother 2
naval 1
navy 3
never 1
none 1
not 2
novel 2
now 1
of 11
off 1
officer 2
old 1
on 5
opens 1
or 1
other 2
pacific 3
part 1
parties 1
pick 1
picked 1
plans 1
plates 1
pull 1
punctured 1
pursuers 1
raider 1
raiding 1
repair 2
repairs 1
resolution 3
resourceful 1
result 1
richard 1
rifle 1
royal 1
run 1
savillesamarez 2
scrub 1
second 1
senior 1
sense 1
serving 1
shore 1
shot 1
single 1
sinks 1
small 1
soon 1
steals 1
story 3
sunk 1
tangle 1
tells 1
than 1
that 2
the 25
then 1
they 1
thorn 1
to 12
told 1
try 1
trying 1
up 1
upbringing 1
vessel 4
war 1
was 2
way 1
which 1
who 1
with 3
world 1
wounded 3
ziethen 3
