318747
/m/01v6yp
/m/01v6yp
Patricia Highsmith
1974-03-11
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
6000 1
a 24
abandon 1
about 2
absolutely 1
accepted 1
accepts 1
acknowledges 1
address 1
affair 1
after 4
also 1
american 1
an 2
and 23
annette 1
another 1
answers 1
any 1
appear 2
are 1
arms 1
as 3
asks 5
assassination 1
assassins 1
assisted 1
associate 1
at 6
away 3
back 2
bank 1
be 2
been 1
before 2
begins 1
belle 3
blood 1
bombs 1
bond 1
book 1
boss 3
both 1
british 1
burn 1
but 3
by 1
calls 1
can 3
car 2
care 1
carrying 1
caught 1
comfortably 1
commit 4
concoct 1
conscience 1
contract 1
convince 1
corpses 2
couple 1
credible 1
criminal 1
crowded 1
days 2
deal 1
death 1
demanding 1
demise 1
desirable 1
detests 1
dies 1
dilemma 1
discovers 2
do 1
doctor 1
does 1
doing 1
down 1
drive 2
early 1
encounters 1
ensure 2
entire 1
eventually 1
evidence 1
exactly 1
executes 1
explain 1
fabricate 1
falls 1
far 1
fear 1
fears 1
feel 1
few 2
finds 1
fire 1
first 1
fontainebleau 2
for 4
forces 1
form 1
framer 1
france 2
french 1
from 2
front 1
garrotte 1
german 1
germany 1
getting 1
gives 2
go 2
goes 2
gone 1
gun 2
gunmen 1
had 3
hamburg 4
happens 1
has 6
he 18
heloise 2
help 2
her 6
him 11
himself 3
hired 1
his 10
hitmen 1
hits 1
horrified 1
host 1
house 4
housekeeper 1
how 1
however 1
husband 3
idea 1
if 1
in 20
insists 1
instigation 1
insulted 1
into 2
invites 1
involved 1
involvement 1
is 10
it 3
jonathan 1
kidnapped 1
kills 1
know 1
large 1
later 2
learns 3
leave 1
less 1
let 1
leukemia 2
links 1
live 1
lives 1
living 1
mafia 9
mafioso 1
making 1
man 2
mdash 7
might 1
milan 1
minot 14
mme 1
money 4
month 1
months 2
mortally 1
much 1
munich 1
murder 4
murders 2
myeloid 1
name 2
named 1
necessarily 1
necessary 1
not 3
novel 1
of 13
offer 2
ombre 3
on 4
one 1
only 1
opens 1
option 1
ordeal 1
other 1
out 2
own 1
party 1
penniless 1
persuaded 1
persuades 1
phone 2
picture 1
plan 1
poor 1
previous 1
promises 1
quartet 1
realizes 1
receives 1
reeves 1
remained 1
remote 1
reprisals 1
resolves 1
responsible 1
revealing 1
revenge 2
ripley 23
role 1
rumor 2
run 1
say 1
sending 1
sent 1
shady 1
she 2
shepherd 1
shoot 1
shooting 1
shows 2
silent 1
simone 5
situation 1
so 2
someone 1
something 1
son 1
sort 1
specialist 1
spends 1
spits 1
started 1
starts 2
station 1
story 1
strange 1
suffering 1
suggests 2
suicide 1
sum 1
survive 1
suspect 1
suspicions 1
suspicious 2
swiss 1
take 1
takes 1
taxi 1
tell 1
than 1
that 12
the 29
their 3
them 2
then 2
they 3
third 1
thirties 1
this 1
though 1
through 3
thrown 1
time 1
to 34
tom 1
tortured 1
train 2
trevanny 24
try 1
turn 1
turns 2
two 3
ubahn 1
unable 1
unless 1
until 1
up 3
using 2
village 1
villeperce 1
visit 1
visits 2
wealthy 2
whatever 2
when 2
where 3
while 2
who 3
wife 4
will 3
with 6
work 1
worsened 1
wounded 1
