19050894
/m/04jcmgl
/m/04jcmgl
Colin Dexter
1996-09-24
1 1
15 1
16 1
17 1
2year 1
577 1
700 1
730 1
a 9
about 2
after 2
aided 1
almost 1
also 2
and 7
anything 1
as 2
assailant 1
at 3
backyard 1
between 2
blank 1
bloxham 2
body 1
breakfast 1
breaking 1
bream 1
burglar 1
by 2
caliber 1
can 1
captain 1
chief 1
christian 1
clinic 1
clixby 1
close 1
closed 1
clues 1
college 1
conclusion 1
condition 1
confirm 1
convinces 1
cook 1
cornford 1
cryptic 1
days 1
deadly 1
dennis 1
desperate 1
detective 1
diabetes 1
diagnoses 1
discovers 1
divulges 1
dr 1
drive 2
ds 1
early 1
employing 1
endeavour 1
eventeenthcentury 1
expert 1
extreme 1
february 1
first 2
five 1
for 4
from 1
full 1
geoffrey 1
getting 1
goes 1
going 1
greyhaired 1
happened 1
he 4
head 1
heading 1
her 5
himself 1
his 5
home 1
hospital 2
house 1
howdah 1
immediate 1
immediately 1
in 5
including 1
insists 1
inspector 1
interest 1
is 3
james 2
janet 1
john 2
julian 1
kidlington 1
kitchen 1
know 1
known 1
lancaster 1
lead 1
learn 1
let 1
lewis 3
local 1
lock 1
lonsdale 1
love 2
man 1
master 1
mcqueen 1
more 1
morning 2
morse 5
mysterious 1
name 3
named 2
neighbour 1
new 1
news 1
newspaper 1
none 1
novel 1
number 1
nurse 1
of 9
old 1
on 1
or 1
other 1
owens 2
oxfordshire 1
photograph 1
physiotherapist 1
pistol 1
place 1
placed 1
poem 1
point 1
ponytailed 1
position 1
postcard 1
prestigious 1
pretty 1
prior 1
rachel 2
radcliffe 1
recall 1
replace 1
reporter 1
residents 1
rivalry 1
scoop 1
seeing 1
send 1
sergent 1
series 1
shade 1
ship 1
shooting 1
shot 1
signs 1
silhouetted 1
sir 1
sister 1
so 1
soon 1
stood 1
storrs 1
story 1
suspicious 1
that 3
the 17
them 1
this 1
through 1
time 1
to 11
took 1
turn 1
unfortunately 1
upper 1
was 1
where 1
which 2
wilmot 1
window 2
with 4
woman 1
work 1
young 1
