1564851
/m/05btj2
/m/05btj2
James Curcio
2004-11
{"/m/06nbt": "Satire", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
a 2
about 1
abyss 1
also 1
an 1
and 5
anton 1
around 1
as 1
atypical 1
authors 1
been 1
burroughs 1
confusion 1
course 1
cults 1
cultural 1
culture 1
curcio 2
cutup 1
debates 1
details 1
discover 1
effort 1
elements 1
events 1
experience 1
experimenting 1
focus 1
form 1
found 1
frame 1
from 2
gpod 1
grammatical 1
group 1
groups 1
hallucinogens 1
harrowing 1
have 2
heated 1
his 1
hypnotic 1
in 3
intentionally 1
interview 1
interviews 1
into 1
is 1
it 1
its 1
join 1
kids 1
lack 1
like 1
likened 1
many 1
member 1
my 1
narrative 1
narrator 1
neurolinguistic 1
nonlinear 1
of 6
on 2
one 1
or 2
other 1
over 1
plot 1
plunge 1
pynchon 1
quickly 1
radio 1
reading 1
reference 1
regularly 1
robert 1
shamanism 1
shifting 1
shown 1
similar 1
stimulate 1
structures 1
style 1
suburban 1
such 1
surrounding 1
techniques 2
text 1
that 1
the 7
their 1
them 1
themselves 1
there 1
thereof 1
these 2
this 1
thomas 1
to 3
unhinged 1
utilizes 1
utilizing 1
value 1
various 2
was 1
website 1
who 1
william 1
wilson 1
with 1
within 1
works 1
