3660409
/m/09sxsb
/m/09sxsb
Frank Norris
1901
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
ad 1
and 4
annixter 1
are 1
as 1
at 1
attempt 1
attempts 1
been 1
behrman 1
between 1
by 1
conflict 1
cost 1
defend 1
depicts 1
derrick 2
designed 1
disintegration 1
epic 1
families 1
farmer 1
farmers 3
fight 1
for 2
forcing 1
freight 1
great 1
have 1
his 2
hoc 1
hooven 1
improving 1
in 2
joaquin 1
land 2
leader 1
league 1
local 1
low 1
magnus 1
many 1
octopus 1
of 5
p 1
pacific 1
poem 1
possession 1
presley 1
psw 1
railroad 2
rates 1
reluctant 1
representative 1
represented 1
retention 1
s 2
san 1
serves 1
southwestern 1
take 1
the 12
their 2
them 1
themselves 1
to 3
valley 1
w 1
wheat 2
witnesses 1
writing 1
years 1
