26228747
/m/0b772p2
/m/0b772p2
Jacqueline Carey
2009-05-29
12 1
a 7
and 3
as 1
become 1
becomes 1
before 1
being 1
born 1
boxer 1
bred 1
but 1
by 1
changed 1
character 1
daughter 2
desert 1
dystopia 1
effectively 1
engaged 1
escape 1
escaped 1
even 1
eventually 1
exist 1
father 2
find 1
forced 1
future 1
garron 1
genetically 1
grows 1
has 1
have 1
he 1
her 1
his 1
in 3
is 4
leave 1
legally 1
longer 1
loup 3
main 1
military 1
modified 1
mother 1
name 1
no 3
of 4
olivia 1
order 1
outpost 4
people 1
resident 1
rights 1
santa 1
set 1
simply 1
since 1
states 1
that 1
the 4
to 6
town 2
try 1
united 1
up 1
us 1
war 1
was 1
weapon 1
where 1
who 1
with 2
zone 1
