11787614
/m/02rsb70
/m/02rsb70
Katherine Mansfield

{"/m/02xlf": "Fiction"}
a 5
about 3
after 2
alive 1
and 3
andrews 2
angry 1
annoying 1
are 1
around 1
arrange 1
as 1
asks 1
at 2
barrel 1
be 3
because 1
bed 1
bedside 1
been 1
before 1
belongings 1
benny 1
better 1
boldly 1
brother 1
but 4
by 2
cannot 1
ceylon 2
clergyman 1
colonel 2
coming 2
communion 1
concerned 1
consider 1
constantia 2
conversation 1
cooked 1
cost 1
crumbs 1
cyril 2
daughters 2
demur 1
died 2
dinner 1
disagrees 1
disturbs 1
drawers 1
dresser 1
dying 1
eastbourne 1
except 1
eye 1
farolles 1
father 5
feel 1
feels 1
finally 1
fired 1
fish 1
for 5
from 1
funeral 2
future 1
giving 2
glaring 1
go 1
hat 1
have 1
he 1
hear 2
her 2
his 1
holy 1
how 3
if 1
in 3
inside 1
invited 1
is 3
it 3
josephine 2
kate 1
last 1
late 1
later 1
letters 1
longer 1
maid 1
men 1
met 1
mornings 1
mother 1
mouse 2
mr 1
must 1
need 1
nephew 1
never 1
no 3
noise 1
not 1
nurse 2
of 2
offers 1
one 1
only 1
opened 1
organ 1
out 1
over 1
overeating 1
perhaps 1
porter 1
postal 1
realize 1
recall 1
remember 1
sad 1
saw 1
say 1
sending 1
sent 1
service 1
she 2
sister 1
sisters 4
snoops 1
sort 1
stationed 1
stay 1
still 1
stop 1
suggests 2
take 1
talk 2
tea 1
that 1
the 17
their 11
them 1
there 2
they 12
theyve 1
things 1
think 1
thinking 1
thinks 1
time 1
to 10
top 1
two 1
visits 1
want 1
wanted 1
was 1
watch 3
week 1
were 1
what 1
whether 1
which 1
who 2
whom 1
with 1
wonder 2
would 2
