9681631
/m/02pn_np
/m/02pn_np
Alastair Reynolds
2007-04-02
a 17
abandoned 1
able 1
about 2
access 1
accompaniment 1
across 2
actually 2
admits 1
advance 1
aforementioned 1
after 1
alien 1
alliance 2
although 2
american 1
an 4
analyse 1
analysis 1
and 30
anyone 1
appears 1
approaching 1
are 4
around 1
arrives 1
as 5
assignment 1
asteroid 1
at 2
attack 3
attempted 1
attempting 2
aumonier 6
aurora 10
avoid 1
aware 1
back 3
backups 1
band 6
bands 1
barricading 1
be 5
became 1
been 4
before 4
began 1
begin 1
begins 2
being 2
believe 1
believed 1
believes 1
believing 1
bombs 1
bring 1
but 4
by 8
called 1
can 2
capable 1
captain 1
centre 1
chance 1
changed 1
character 1
civilians 1
claiming 1
clepsydra 4
clockmaker 13
clocks 1
collapsed 1
colony 2
committed 1
communication 1
conclude 1
confirm 1
confronts 1
conjoiner 2
conjoiners 2
consciousness 1
construct 1
contacts 1
control 2
converse 1
converting 1
convinces 1
core 1
corpse 1
creates 1
creating 1
crew 1
custody 1
data 1
death 1
debate 1
decide 1
defeat 1
defeating 1
defence 1
demands 1
deputies 1
deputy 1
describes 1
destroy 3
destroyed 4
destroying 2
destroys 1
destruction 1
devastated 1
digital 2
disastrous 1
discover 1
discovering 1
distribute 1
distributed 1
do 1
down 4
dreyfus 20
drive 1
during 1
effectively 1
emergence 1
enslaved 1
entity 1
entrance 1
escape 1
escaped 1
escapes 1
established 1
even 1
exordium 3
explains 1
exposed 1
exterminating 1
extremely 1
fact 2
family 1
fight 2
fighting 1
find 1
firebrand 3
flame 1
following 1
for 3
forces 1
formerly 1
four 2
frame 1
from 3
further 1
future 3
gaffney 4
glitter 7
glitterband 1
good 1
grossly 1
habitat 7
habitats 4
had 1
hands 1
happening 1
has 7
have 4
having 1
he 6
herself 1
hidden 1
hides 1
hiding 1
him 6
his 5
however 3
hyperpig 1
implied 1
in 16
incapacitates 1
indicate 1
indicates 1
information 1
informs 1
inhabitants 1
inside 2
intelligence 1
interrogate 1
interview 1
into 7
investigate 3
investigation 1
is 16
isolation 1
it 9
its 5
itself 1
jane 1
justice 2
killing 1
kills 1
lascaille 2
last 1
leaves 2
left 1
lighthugger 1
links 1
lived 1
lock 1
long 1
machine 1
machines 1
malfunctioning 1
manipulates 1
matter 1
meantime 1
meeting 1
meets 3
melding 1
member 1
members 2
more 1
moved 1
moving 1
murderer 1
name 1
named 1
near 1
nervallermontov 1
network 1
new 1
ng 1
nine 2
no 1
not 4
novel 2
now 4
nuclear 1
of 22
office 1
on 1
one 4
only 2
orbiting 1
ordered 1
orders 1
original 1
other 1
others 1
out 2
outbreak 1
outnumbering 1
outside 1
over 1
own 2
owned 1
panoply 7
part 1
penetrate 1
philip 2
plague 1
planning 1
plans 1
polling 2
power 1
powerful 1
predict 2
prefect 2
prefects 6
preparing 1
prevent 1
previously 1
prior 1
produce 1
promised 1
quarters 1
ready 1
recent 2
records 1
recovered 1
refuge 1
refuses 1
regaining 1
relocated 1
required 1
research 2
respond 1
responsible 4
return 1
reveal 1
reveals 1
revelation 1
robots 1
role 1
rounding 1
routine 1
run 1
ruskinsartorious 4
same 1
scanned 1
secretly 1
send 1
senior 2
sent 3
service 1
servitors 2
shadows 1
she 8
ship 2
shrouders 2
shut 2
similar 1
simulation 1
simulations 1
situation 1
software 3
some 1
space 1
sparver 6
speaks 2
spree 1
stand 1
starship 1
stolen 1
stop 1
success 1
such 1
suggests 1
suicide 1
superiors 1
supreme 1
surface 1
survived 1
survivors 1
systems 1
take 2
taken 1
taking 1
team 1
tells 3
thalia 3
that 10
the 79
their 3
them 5
then 1
theory 1
they 5
those 1
time 1
timeline 1
to 43
towards 1
tower 1
trapped 1
true 1
turned 1
ultranauts 1
ultras 1
ultrasecret 1
unable 1
unbeknownst 1
under 1
unit 1
up 1
upgrade 1
upgrades 1
uploaded 1
use 2
used 1
uses 1
using 1
very 1
violation 1
violations 1
violent 1
virtually 1
visited 1
voting 1
war 3
was 9
way 1
weapons 1
weeks 1
weevil 3
weevils 4
were 1
what 3
when 1
where 1
which 6
whilst 1
who 6
with 14
years 2
yellowstone 1
