6105288
/m/0fqbvz
/m/0fqbvz
Chris Crutcher

{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 8
abortion 1
abortionand 1
above 1
abuse 1
abusive 1
accident 1
actions 1
actionsthat 1
after 4
agrees 1
all 1
american 1
an 4
and 25
any 1
apartment 1
appears 1
are 1
article 1
as 4
at 1
attempts 2
away 1
back 2
be 2
became 1
because 3
been 4
began 1
begins 1
being 2
beliefs 1
best 1
bit 1
body 1
boyfriend 1
brief 1
bring 1
brittain 1
bully 1
burned 1
but 2
byrnes 11
byrness 1
calhounes 1
called 2
can 1
capturing 1
carver 1
cat 1
catatonia 2
catatonic 2
child 1
class 2
classmates 1
coach 1
conflicting 1
confronted 2
confused 1
contemporary 1
continues 1
course 1
crispy 1
cure 1
dale 5
declining 1
decreases 1
develop 1
difficulty 1
discovers 1
discussions 1
do 1
doesnt 1
down 1
during 1
easier 1
eat 1
ellerby 1
encouraged 1
ensuing 1
eric 10
erics 2
even 1
events 1
eventually 1
excessively 1
explore 1
extremely 1
face 1
facial 1
fat 1
father 4
fear 1
feels 1
figures 1
focusing 1
for 5
forces 1
former 1
friend 2
friends 2
from 1
further 1
garage 1
get 1
going 1
gone 1
had 1
hands 2
has 5
hatches 1
have 2
he 9
heart 1
her 13
hide 1
hiding 2
him 8
his 9
hospital 3
house 2
hunts 1
hurt 1
illness 1
image 1
improves 1
in 6
includes 1
information 1
insists 1
into 1
is 8
issues 1
it 1
jody 2
jog 1
just 1
justice 1
kill 2
later 1
lays 1
leads 1
learns 1
leaving 1
lemry 4
lives 1
long 1
look 1
losing 1
makes 1
many 1
mark 2
may 1
memory 1
mental 2
middleton 1
moby 1
moments 2
more 2
mother 1
mothers 1
ms 4
mueller 1
must 1
newspaper 1
no 1
of 8
on 7
only 2
originally 1
other 1
out 8
overweight 1
passes 1
personal 1
picked 1
place 1
plan 1
pork 1
protection 1
rather 1
reality 1
recall 1
reconciling 1
recruited 2
regularly 1
religion 1
reno 1
rescue 1
reveals 1
rinds 1
run 1
running 1
ruse 1
sacred 1
safe 1
sarah 13
scarring 1
scars 1
school 1
search 1
seek 1
severely 1
she 7
shortly 1
sitting 1
skill 1
so 1
social 1
soldier 1
some 1
speaking 1
special 1
stabs 1
staff 1
state 1
stay 1
steve 1
stop 1
struggle 1
suffered 1
suggests 1
suicide 2
swim 2
take 2
teacher 1
teaches 1
team 1
terrified 1
than 1
that 8
the 17
their 2
there 1
these 2
they 3
this 2
thornton 2
thorntons 1
thought 1
threatens 1
through 1
time 2
to 24
topics 1
trap 1
truth 1
underground 1
vietnam 1
views 2
virgil 3
want 1
ward 1
was 3
way 1
weight 1
were 1
what 1
where 1
which 1
while 1
who 3
with 5
witness 1
write 1
