18158459
/m/04cv0sy
/m/04cv0sy
Celia S. Friedman
2007-01-02
{"/m/01hmnh": "Fantasy"}
a 7
age 1
an 3
ancient 1
and 4
andovan 3
apprenticeship 1
are 1
as 2
at 1
avaricious 1
away 1
baffling 1
banishes 1
be 1
becomes 1
by 2
can 1
caused 1
child 1
comes 1
cost 1
danton 1
dark 1
disease 1
dismay 1
drag 1
drains 1
each 1
enraged 1
entwined 1
ever 1
exceptions 1
expiring 1
fantasy 1
fates 1
female 1
find 1
finite 1
first 1
for 1
force 1
found 1
from 1
fuel 1
gwenofar 1
hardened 1
has 1
his 2
immortal 1
in 1
insists 1
is 1
its 1
kamala 2
king 2
kostas 1
life 2
magic 1
magister 3
magisters 1
meanwhile 1
monstrous 1
more 1
mother 1
much 1
murderous 1
mysterious 1
nearly 1
new 1
no 1
of 3
on 1
only 1
own 1
place 1
power 2
prince 1
queen 1
righthand 1
secretly 2
sinister 1
sole 1
son 1
source 1
spell 1
stirs 1
takes 1
tap 1
terrible 1
the 10
their 2
third 1
this 1
threatens 1
to 2
toward 1
trilogy 1
unheardof 1
until 1
wasting 1
when 1
which 2
who 1
whore 1
witch 1
with 1
woman 1
world 2
young 1
