6724980
/m/0gkr2t
/m/0gkr2t
Gael Baudino
1994
a 17
about 2
after 4
all 2
an 3
and 19
angel 1
another 1
anything 1
artificial 2
as 3
assault 1
at 9
attacked 1
attacks 1
attention 1
away 1
bail 1
banality 1
bargaining 1
barriers 1
basis 1
battle 1
because 1
becoming 1
been 2
billion 1
black 1
blinding 1
bogus 1
both 2
but 1
by 3
c4 1
cannot 1
catalyst 1
choice 1
cleaner 1
college 2
come 2
comes 3
commit 1
concluding 1
condition 1
consumed 1
convictions 1
crack 4
day 2
deal 1
dealers 1
dean 1
deflects 1
delmari 1
demolishes 1
denver 3
describe 1
desert 1
desperate 1
destroys 1
details 1
discharged 1
disposal 1
distance 1
divine 1
do 1
done 1
down 1
draw 1
drove 1
drug 1
early 1
earth 1
effort 1
efforts 1
elf 3
elves 3
emotional 1
employed 1
employment 1
entire 1
envy 1
eroding 1
even 1
every 1
evicting 1
existence 2
exploiting 1
eyes 1
face 1
fact 1
factual 1
fades 1
fake 1
falsity 1
few 1
fighting 1
final 1
finally 5
find 1
finding 1
finds 1
firm 1
first 1
fleeting 1
following 1
for 8
found 1
four 1
free 1
from 8
future 1
gardener 1
george 1
given 1
gives 1
grace 1
grief 2
grieving 1
group 1
guidance 1
gun 1
had 3
hadden 1
half 1
hands 2
happened 1
has 9
have 1
having 1
he 16
heal 2
healing 1
heather 1
held 1
helping 1
her 11
herself 1
hidden 2
higher 3
him 9
himself 1
his 12
hopeless 1
house 4
how 1
immortal 1
in 7
insane 1
intact 1
into 2
invitation 1
is 9
it 1
joy 1
just 2
kingsley 2
knife 1
knowing 1
lady 1
land 1
last 1
later 1
learn 1
left 1
leg 4
legs 1
lies 1
life 3
living 1
loathe 1
longer 1
man 2
many 1
marginalized 1
maxwell 1
military 1
missing 1
morrison 1
music 1
named 2
narrative 3
natil 3
need 1
neighborhood 1
nights 1
no 4
nor 1
not 1
now 3
obscure 1
of 23
old 1
on 1
once 3
one 2
operating 1
or 1
ordnance 1
others 1
out 1
oven 1
overwhelming 1
partial 1
patterns 1
people 2
pieces 1
plagued 1
police 2
portions 1
pounds 1
power 3
powerless 1
powers 3
predicament 1
presence 1
private 1
program 2
projects 1
publications 1
purportedly 1
question 1
realize 1
realizes 1
recently 1
references 1
referring 1
regained 1
rein 1
returned 1
revealed 2
ruins 1
safety 1
same 2
sandy 7
says 1
search 1
security 1
see 1
seeing 1
sees 1
selfmutilation 1
serves 1
set 1
sham 1
shame 1
she 8
shot 1
slashing 1
sleeps 1
small 1
so 1
soon 1
sprays 1
started 1
states 1
steals 1
storm 1
street 1
strength 1
strikes 1
subject 1
suicide 1
sunlight 1
surveying 1
tell 1
terry 7
that 9
the 33
their 2
them 1
there 1
this 1
thoroughly 1
though 1
thread 2
threads 1
tie 1
tk 2
to 17
together 1
too 1
tortures 1
transformation 1
transforming 1
treestar 1
tries 1
truth 2
two 1
university 1
up 3
use 1
uses 2
veteran 1
vietnam 1
vision 2
visions 1
wakes 1
weak 1
what 2
when 3
which 1
while 1
who 2
whole 1
will 2
with 7
work 1
working 1
years 1
