1869622
/m/062jd8
/m/062jd8
Sharon Shinn
1997
1 2
17 1
18 1
2 1
2003 1
2004 1
3 1
4 1
5 1
a 3
about 1
ace 5
acts 1
addition 1
additional 1
alleluia 1
an 3
and 19
angel 3
angelica 3
angels 6
angelseeker 1
annual 1
another 1
answer 1
archangel 7
archangels 2
are 5
as 2
at 3
be 2
because 1
become 1
before 1
bethel 1
book 6
books 5
brings 1
but 4
by 4
calculating 1
center 1
citizens 1
close 1
confronting 1
consort 2
constant 1
contend 1
corrupt 1
crops 1
cultured 1
current 1
declared 1
destroy 1
destroyed 1
dislikes 1
divided 1
do 1
does 1
done 1
down 2
each 2
edori 3
ends 1
enslaved 1
especially 1
every 1
expectations 1
faced 1
family 1
files 1
finally 1
first 1
fly 1
for 5
fortress 1
frequently 1
gabriel 5
gaza 2
getting 1
gloria 2
god 6
governing 1
greedy 1
guidance 1
had 1
hand 1
has 5
have 2
having 1
he 2
held 1
her 3
highly 1
himself 1
his 4
hold 1
however 2
humans 2
in 3
inhabit 2
intercede 1
into 1
is 6
it 2
jansai 2
jordana 3
jovah 6
land 1
lead 1
legends 1
life 1
love 1
lovehate 1
made 1
manadavvi 1
many 1
marriage 1
married 1
mass 1
merchants 1
mortal 1
mortals 1
must 1
need 2
new 1
next 1
not 2
of 9
on 2
one 2
or 1
oracle 1
other 1
otherwise 1
oversee 1
own 1
petitioning 1
petitions 1
plain 1
point 1
position 1
praise 1
problem 1
problems 1
procrastinated 1
protect 1
rachael 1
rachel 2
rain 1
raphael 2
realize 1
region 2
regions 1
relation 1
reluctant 1
rivers 1
run 1
samaria 8
satisfying 1
selected 1
selects 1
separated 1
serve 1
set 1
sharon 1
she 2
sing 1
singing 1
slave 2
solve 1
song 1
state 1
step 1
stormy 1
story 1
stronger 1
sun 1
supposed 1
taller 1
than 1
that 7
the 39
their 2
them 2
they 3
this 1
thornintheside 1
thoughts 1
three 1
through 1
thus 1
to 8
together 2
tracks 1
trade 1
trials 2
tribulations 1
twenty 1
under 1
uses 1
wanderers 1
want 1
was 1
wealthy 1
were 1
what 1
when 3
who 4
wife 2
windy 1
wings 1
wishes 1
with 3
world 1
would 1
years 1
younger 1
