8401673
/m/02725c8
/m/02725c8
Anne McCaffrey
1993-02-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 1
afra 1
against 1
alien 1
an 1
and 2
assistant 1
begins 1
book 1
by 2
capella 1
character 1
childhood 1
children 1
colony 1
conflicted 1
damia 2
dangerous 1
defending 1
end 1
enemy 1
especially 1
even 1
events 1
faced 1
fallen 1
feelings 1
first 1
followed 1
from 1
gives 1
has 1
he 1
helping 1
him 1
his 3
hive 1
humanity 1
in 3
introduced 1
is 1
it 2
jeff 1
later 1
love 1
lyon 3
mainly 1
more 1
of 4
on 1
orbiting 1
planet 1
point 1
powerful 1
precocious 1
previous 1
raise 1
rather 1
raven 1
realizes 1
regimented 1
rowan 4
shows 1
strictly 1
than 1
that 1
the 11
then 1
to 1
told 1
two 1
up 1
view 2
ward 1
which 1
wind 1
with 2
young 1
