24745298
/m/080j2hb
/m/080j2hb
Vince Flynn


a 9
accomplish 1
achieving 1
acknowledgment 1
advisor 1
agent 1
ambassadors 1
ambush 1
american 1
an 3
and 5
as 6
assassin 1
assignment 1
avenge 1
balance 1
banished 1
be 1
become 1
been 1
before 2
betrayed 1
blown 1
bullseye 1
bureaucrat 1
but 1
by 4
cause 1
cells 1
changes 1
chest 1
cia 3
close 1
coincidental 1
congressional 1
corps 1
counter 1
counterterrorism 2
cover 1
covert 1
defeating 1
department 1
diplomatic 1
director 1
dissolving 1
dr 1
duties 1
east 1
either 1
elicits 1
eradication 1
establishment 1
eventual 1
everything 1
existence 1
field 1
fight 1
flamboyant 1
following 1
for 3
forces 1
former 1
from 4
geopolitical 1
goal 1
had 1
has 3
have 1
he 2
help 1
highest 1
him 2
his 2
hopes 1
hostages 1
however 2
hussein 1
ideal 1
important 1
in 9
individual 1
international 1
invisible 1
irene 1
is 5
islamic 2
israel 1
its 1
jihad 1
keep 1
kennedy 1
killed 1
kingdom 1
knows 1
last 1
latest 1
leaders 1
leads 1
leak 2
loss 1
loved 1
makes 1
media 1
members 1
middle 1
might 1
mission 2
mitch 1
most 1
moves 1
murder 1
must 1
navy 1
network 1
never 1
nobody 1
nuclear 1
obtaining 1
of 7
office 1
official 1
on 4
ones 1
only 1
operative 1
operator 1
or 1
order 1
out 1
palestinian 3
person 1
philippine 2
philippines 1
placed 1
plotline 1
plotting 1
praise 1
president 2
preventing 1
prince 1
public 1
quality 1
radical 1
rapp 7
receives 1
rescue 1
rescuing 1
response 1
saddam 1
saudi 2
scale 1
seal 1
seals 1
seen 1
singling 1
sits 1
situation 1
someone 1
special 1
spotlight 1
state 2
successfully 1
support 1
sure 1
symbol 1
target 1
team 2
tenuous 1
terrorism 1
terrorist 2
terrorists 2
that 6
the 28
this 1
those 1
though 1
to 12
too 1
topsecret 1
trying 1
turncoats 1
two 1
uncomfortably 1
unknown 1
upset 1
us 1
visible 1
way 1
weapons 1
well 2
went 1
when 1
who 3
with 1
worse 1
yet 1
