7928449
/m/026kdbc
/m/026kdbc
Robert Cormier
1985
a 6
activities 1
after 4
agrees 1
all 3
alluding 1
also 1
among 1
an 1
and 7
any 1
archie 7
are 1
argued 1
as 4
assigner 1
at 1
attempt 1
backfires 1
beautiful 1
becomes 1
being 1
beneath 1
book 1
books 1
both 1
brother 1
bunting 3
but 4
by 3
canada 1
cant 1
caroni 1
carter 1
changes 1
chocolate 2
claim 1
coming 1
comment 1
committing 1
compulsory 1
conclusion 1
condition 1
contemplate 1
continues 1
cool 1
cormier 2
costello 1
critics 1
darker 1
david 1
decides 1
destroyed 2
draws 1
during 1
emile 2
end 3
ends 2
engineers 1
environment 1
even 1
exploits 1
explored 1
failed 1
few 1
for 2
force 2
forward 1
frustrated 1
frustration 1
future 1
giving 1
gundarson 1
had 1
hands 1
happened 1
has 2
have 2
he 1
high 1
his 4
illegal 1
in 5
including 1
intact 1
involving 1
is 3
it 2
its 2
janza 3
jerry 1
knowing 1
last 1
laurie 1
leader 1
leadership 1
leading 1
leaving 1
leon 1
look 1
made 1
main 1
male 1
many 2
marijuana 1
members 1
months 1
murder 1
never 1
not 1
notably 1
obie 2
of 15
on 1
one 2
only 1
out 1
over 1
perversion 1
physical 1
pills 1
plan 1
plot 1
predecessor 1
principal 1
protagonists 1
psychological 1
pursuit 1
ran 1
rather 1
received 1
recommending 1
relation 1
relationship 1
renault 1
reputation 1
return 1
revealed 1
revenge 1
role 1
ruin 1
ruined 1
ruthless 1
ruthlessly 1
school 2
schools 1
scuffle 1
second 1
secondincommand 1
secret 1
seen 1
selling 1
sequel 1
sex 1
sexual 1
side 1
simple 1
single 1
society 1
sparsely 1
spectre 1
stayed 1
still 1
story 3
stream 1
students 2
suggests 1
suicide 1
summer 1
taxing 1
teenage 1
than 1
that 3
the 31
theme 1
they 1
this 2
those 1
thus 1
to 10
trick 1
trinity 3
undercurrents 1
underling 1
until 1
urges 1
use 1
various 1
vigil 2
vigils 3
war 2
was 3
way 1
well 1
what 1
with 4
year 2
years 1
