12948231
/m/02z1155
/m/02z1155
Michael Connelly
1992-01-21
{"/m/0lsxr": "Crime Fiction", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
a 6
advancing 1
after 2
agent 1
americans 1
an 2
and 3
as 3
attack 1
attempt 1
attracts 1
bank 1
became 1
been 2
billy 1
bosch 5
centres 1
connected 1
connecting 1
county 1
death 1
demoted 1
detective 1
determines 1
division 2
dollmaker 1
during 1
edgar 1
eleanor 1
end 1
especially 1
fbi 1
fellow 1
foil 1
friend 1
from 1
group 1
harry 1
have 2
he 3
hollywood 1
homicide 1
however 1
in 4
interest 1
involved 1
is 1
it 1
jerry 1
killing 1
killings 1
l 1
living 1
main 1
may 2
meadows 1
money 1
more 1
next 1
novel 1
of 2
orange 1
particular 1
partners 2
police 1
rat 2
robberies 1
robbers 1
robbery 1
robberyhomicide 1
round 1
serial 1
served 1
some 1
spectacular 1
subterranean 1
suspect 1
suspects 1
than 1
that 3
the 10
their 1
them 1
then 1
to 5
tunnel 2
tunnels 1
up 1
using 1
veteran 1
vietnam 1
vietnamese 1
war 2
well 1
were 1
when 1
where 1
who 1
wish 2
with 3
