16046766
/m/03qm93k
/m/03qm93k
Frank Chin
1991-02
1 3
42 1
a 4
about 1
admires 1
adores 1
all 1
america 1
american 6
americanborn 1
an 1
and 15
are 3
arnold 1
as 6
ashamed 2
astaire 5
at 2
azalea 1
be 5
because 1
become 1
been 1
begins 3
being 3
believe 1
believes 1
best 1
blackandwhite 3
book 1
books 1
born 2
boy 1
built 1
by 1
can 1
celebrate 1
central 1
chef 1
chinatown 1
chinese 13
chineseamerican 2
claiming 1
closer 1
comparing 1
conclusion 1
considers 2
could 1
credit 1
culture 2
daisy 1
dances 2
day 1
days 1
does 1
donald 21
dreams 4
duk 6
embarrassed 1
end 1
ending 1
envies 1
especially 1
even 1
every 1
everybody 1
everyone 1
family 4
father 3
feels 1
feet 1
films 1
finds 1
finishing 1
first 1
found 1
fred 7
friend 1
from 1
getting 1
ginger 1
give 1
given 1
had 1
has 1
have 2
he 11
heritage 1
him 1
himself 5
his 7
history 1
home 1
how 1
i 1
immerses 1
immigrants 3
in 7
influenced 1
inspired 1
into 1
introduced 1
is 5
king 3
last 1
latenight 1
laying 1
lemonade 1
life 1
like 2
live 1
look 1
make 1
may 1
men 2
mother 1
movies 2
much 1
name 1
named 3
new 3
night 1
no 1
not 2
novel 1
observe 1
of 11
old 2
older 1
on 3
one 1
order 1
over 1
pacific 1
part 1
penelope 1
people 2
point 1
possible 1
progress 1
promontory 1
put 1
racist 1
racists 1
railroad 3
reaching 1
real 1
realizes 1
rejects 1
research 1
rogers 1
sisters 1
smile 2
son 2
start 1
stays 1
story 1
suddenly 1
summit 1
sweet 1
talk 2
television 1
tells 2
that 8
the 24
them 1
these 1
they 2
think 1
this 2
throughout 1
to 13
told 1
too 1
track 1
transcontinental 1
tv 1
twelveyearold 1
twin 1
two 1
up 3
upon 1
venus 1
very 1
want 1
wanting 1
was 4
watch 1
way 2
we 1
welcome 1
well 1
when 2
white 2
who 1
wishes 1
with 3
work 1
working 1
year 3
you 1
