3237968
/m/090gbc
/m/090gbc
Samuel Shellabarger
1947
{"/m/0hwxm": "Historical novel"}
a 17
about 1
accept 1
acclaim 1
acclaimed 1
accomplishes 1
according 1
actions 1
actually 1
adorn 1
adventurers 1
affection 1
affects 1
afford 1
after 4
against 4
alfonso 3
all 2
alliance 1
allowed 1
along 1
also 1
ambassador 2
an 4
and 45
andrea 7
angela 4
angles 1
anonymous 1
are 3
army 1
arrest 1
arrives 2
as 7
asks 1
assassin 1
assassinate 2
assembled 1
at 2
attack 2
attempt 2
attempts 1
attraction 1
avenge 1
away 1
battered 1
bayard 2
bear 1
been 2
before 2
befriends 1
begins 1
bella 1
belli 13
bereft 1
betrothal 2
between 1
beyond 1
blind 1
blood 1
borgia 18
both 2
breached 1
brightest 1
bring 2
brocadelli 1
but 5
by 7
camilla 10
can 1
cannonhappy 1
cannot 1
captain 3
captains 1
captured 2
cardinal 4
careful 1
catalan 2
catches 1
certain 1
cesare 5
chance 1
character 1
cities 1
citta 7
city 6
claim 1
claims 1
coat 1
come 1
contacts 1
contract 1
countryside 1
court 4
de 3
dead 1
deems 1
deeper 1
deeply 1
defense 2
definite 1
del 7
delegate 1
demesne 1
despite 6
deste 7
destes 2
detach 1
dies 1
discourage 1
discover 1
discovers 1
distrusting 1
do 1
does 1
domain 1
done 1
dottores 1
dreams 1
duke 3
during 1
earnest 1
elsewhere 1
embarking 1
embarrass 1
embarrassing 1
enemies 1
enemy 2
envy 1
ercole 1
erstwhile 1
excite 1
execution 2
exile 1
exiled 1
experience 1
eyes 1
fails 1
fall 1
falls 2
father 1
favor 1
favored 1
feigning 1
ferrara 5
fictional 1
finally 1
finding 1
first 2
for 10
force 1
forced 1
foregoing 1
former 3
fortune 1
fracas 1
free 1
from 5
funding 1
further 1
gain 2
generous 1
given 1
gives 2
go 1
gouge 1
gouging 1
granted 1
grants 1
grape 1
grounds 1
guard 1
guest 1
hands 1
has 6
have 2
having 3
he 12
heir 1
her 10
heritage 1
him 12
himself 8
his 37
how 1
however 1
humanist 1
hurry 1
identity 1
ill 1
impatient 1
impetuous 1
impostor 1
in 21
including 1
incurred 1
induce 1
inducements 1
inflicted 1
information 1
informs 1
innards 1
instrument 1
interest 1
interference 1
interrupts 1
interview 2
into 1
intriguing 1
ippolito 1
is 11
italy 2
its 4
itself 1
journey 1
jubilee 1
keeps 1
kill 1
knifed 1
knowledge 1
lady 1
last 1
lately 2
later 1
leadership 1
leave 3
leaving 1
left 2
lieutenant 1
lieutenants 1
living 1
lord 2
losses 1
love 2
lover 2
low 1
lucia 1
lucrezia 2
made 1
madhouse 1
madness 1
maker 1
makes 2
making 1
man 2
mantegna 1
marches 1
mario 2
marius 1
married 1
marry 1
master 1
match 1
matter 1
may 1
means 2
meanwhile 1
medicos 1
meets 3
mercenaries 1
mercenary 1
mere 1
military 1
miseries 1
mission 2
model 2
modern 1
monastery 1
monte 7
months 2
mother 3
motion 1
must 1
narni 1
necessary 1
new 3
niece 1
no 1
noble 1
nobleman 1
nonmilitary 1
not 2
novel 1
now 1
numerous 1
objections 1
obvious 2
of 40
offers 4
on 6
one 3
only 1
oppressing 1
or 1
orbit 1
order 1
orsini 20
out 2
outraged 1
overawes 1
overwhelmingly 1
painting 1
paintings 1
paints 1
papal 1
parades 1
patronage 1
peasant 2
people 6
personality 2
peter 1
pierre 2
piety 1
pity 1
place 2
plans 3
pleasant 1
plot 4
point 1
pope 2
potions 1
precipitous 1
prefect 2
prepares 1
pretend 1
prince 2
promised 1
promises 1
protracted 2
proves 1
recalls 1
recognized 1
recover 1
recruiting 1
region 1
reject 2
rejection 1
release 1
renaissance 1
repair 1
repute 1
resistance 1
retinue 1
returns 1
reveal 1
reveals 3
revolt 1
rises 1
rival 1
role 1
romagne 1
rome 3
safety 1
saint 2
save 1
savoy 1
secretly 1
secures 1
securing 1
sell 1
send 1
sends 2
sent 1
service 2
serving 1
set 2
sets 1
several 1
she 1
should 1
siege 1
simulated 1
single 1
so 3
sojourn 1
some 1
son 1
sovereigns 1
spares 1
spirited 1
spy 1
spying 1
starved 1
state 1
stay 1
stigmata 1
stir 1
stop 2
strengthen 1
stripping 1
stubbornly 1
suborn 1
succeeds 1
success 1
suffice 1
surrender 1
suspected 1
swiss 2
take 2
taken 1
taking 1
talk 1
talks 1
taste 1
taxes 1
tends 1
terms 4
that 5
the 85
their 4
them 4
themselves 1
there 2
these 1
they 4
thinking 1
this 1
through 3
to 43
torture 1
townsfolk 1
traitor 1
treachery 1
trick 1
trouble 1
true 2
turns 1
two 1
ultimatum 1
under 2
understanding 1
underworld 1
united 1
unnerving 1
unrest 1
up 3
upon 1
urbino 1
useful 1
uses 1
using 1
valuables 1
varano 7
varanos 2
vast 1
venice 2
verge 1
viterbo 1
waiting 1
walls 2
wander 1
warfare 1
warning 1
was 1
way 2
wealth 1
weeks 1
whatever 1
when 2
whereupon 1
whether 1
which 1
while 1
who 2
whose 3
widow 1
widowed 1
wife 1
will 3
willingness 1
win 1
wish 1
with 8
without 3
woman 1
wound 1
wounds 1
young 1
youth 1
zoppo 3
