17550833
/m/0462yst
/m/0462yst
James Patterson
2009-04-27
{"/m/0lsxr": "Crime Fiction"}
a 3
about 1
all 1
and 3
as 5
at 1
bailey 1
be 1
been 1
behind 1
between 1
bookjacket 1
boxer 1
brutally 1
built 1
but 1
celebrated 1
challenge 1
chance 1
cindy 2
city 1
club 2
conklin 1
could 1
couple 1
cracks 1
criminals 1
death 1
deeper 1
destroy 1
detective 2
discovers 1
else 1
ethan 1
everyone 1
evidence 1
executeda 1
faces 1
falls 1
finally 1
fly 1
for 3
found 1
four 1
francisco 1
friends 1
from 1
glamorous 2
have 2
he 1
hears 1
her 1
highprofile 1
his 1
history 1
home 1
homeless 1
hope 1
huge 1
hunt 1
ideal 1
in 1
into 1
investigates 1
is 3
isa 1
it 2
its 1
killer 1
knows 1
left 1
limits 1
lindsay 2
love 1
may 1
message 1
millionaires 1
mingle 1
moment 1
most 2
murder 4
nearly 1
not 2
now 1
of 4
on 1
partner 1
party 1
perfect 1
pinpoints 1
preacher 1
probing 1
quite 1
reporter 1
rich 1
saintly 1
san 1
sees 1
she 2
someone 2
sparks 1
story 1
take 1
tests 1
that 1
the 16
their 1
thomas 1
thought 1
through 1
to 1
toughest 1
trace 1
two 1
vengeance 1
victim 1
watchingwaiting 1
when 1
will 1
with 1
women 2
year 1
