3608386
/m/09pndx
/m/09pndx
Wally Lamb
1992-08-24
{"/m/05hgj": "Novel"}
100 1
17 1
250 1
30 1
a 19
able 1
abortion 1
about 1
accidental 1
across 1
admits 1
adolescent 1
advances 1
affairs 1
after 8
age 1
album 1
an 5
and 18
animal 1
another 1
apartment 1
as 3
at 2
attempt 2
attend 1
attends 1
baby 1
be 1
beached 1
become 1
becomes 3
becoming 1
begin 2
begins 1
being 2
better 1
boat 1
book 1
boyfriend 1
breach 1
but 5
by 5
cab 1
can 1
canned 1
cape 1
catholic 2
charmed 1
charming 1
child 1
clinical 1
cod 1
college 3
comes 1
comfort 1
continues 1
control 1
courses 1
cultivates 1
dante 6
dearly 1
death 1
decides 3
depressed 1
desire 1
despite 1
dies 1
divorce 1
do 1
dolores 9
dominate 1
dreams 1
drown 1
dying 1
easterly 2
eaten 1
encourage 1
ends 1
english 1
enough 2
enrolls 1
entire 1
equal 1
eventually 2
fails 1
family 1
father 2
feel 1
feels 1
female 1
finds 1
first 2
following 1
food 1
for 7
form 1
found 1
friends 1
from 3
frustrated 2
funeral 1
future 1
gets 1
getting 1
given 1
goal 1
grandmother 4
grocery 1
guess 1
hall 1
handsome 1
has 5
have 2
having 1
he 4
heartbroken 1
help 2
her 35
here 1
herself 2
hierarchy 1
high 1
him 1
his 6
home 1
house 2
how 1
however 1
idea 1
illconceived 1
immature 1
immediately 1
in 9
infatuated 1
inherited 1
initially 1
institutionalized 1
into 5
is 13
island 1
issues 1
ivf 1
jack 1
janitor 1
job 1
kinship 1
late 2
leaves 2
lesbian 1
letters 1
life 4
likes 1
local 1
located 1
long 1
longdistance 1
loses 1
loss 1
love 1
mail 1
man 1
marry 1
meets 1
money 1
mother 3
move 2
moves 2
much 1
muses 1
neighbor 1
never 1
new 1
not 1
novel 1
now 2
nude 1
obesity 1
object 1
obsession 2
ocean 1
of 6
on 5
one 2
onenight 1
only 1
orchestrated 1
outsider 1
over 3
past 3
peace 1
pennsylvania 1
peppy 1
photos 2
pounds 2
predicated 1
pregnant 1
pressures 1
price 1
priest 1
pursue 1
rap 1
raped 1
realizes 1
rebuffs 1
receive 1
recite 1
reconnect 1
relationship 2
resentful 1
rhode 1
ride 1
ridiculed 1
right 1
romance 1
roommate 1
school 2
second 1
secret 1
see 1
sends 2
several 2
she 28
single 1
slowmoving 1
smitten 1
social 1
some 1
something 1
son 1
song 1
speight 1
stagnation 1
stand 1
store 1
strict 1
students 1
suburban 1
suicide 1
supports 1
surrogate 1
symbolizing 1
takes 2
teacher 1
teenage 1
television 1
tentative 1
that 4
thayer 3
the 24
their 3
then 1
therapist 1
therapy 1
there 1
they 6
through 2
time 1
title 1
to 17
treat 1
treatment 1
troubled 1
trust 1
turns 1
undun 1
university 1
up 1
uptight 1
vacation 1
vermont 1
wades 1
wanted 1
watching 1
water 1
way 1
weight 1
whale 3
wheat 1
when 3
where 3
which 1
while 2
who 6
will 2
with 11
witnesses 1
woman 1
wonderful 1
work 1
working 2
years 1
youthful 1
