664293
/m/030ysw
/m/030ysw
Daniel Handler
2000-04
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/06www": "Steampunk", "/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction"}
a 14
about 4
accident 2
accompany 1
acts 1
again 4
all 1
along 1
also 1
among 1
an 5
and 30
another 1
arrival 1
arrive 3
as 3
ask 1
at 2
attracting 1
away 1
back 1
bare 1
barefoot 1
baudelaire 1
baudelaires 2
be 1
because 1
bed 2
been 3
before 1
begins 1
being 1
between 1
boarding 1
book 1
books 1
bother 1
break 1
breaks 1
broke 1
building 3
but 4
buzz 2
by 6
cahoots 1
call 1
care 2
caught 1
causes 1
causing 1
chapter 1
chapters 1
charles 4
children 3
clue 1
command 2
constitution 1
contains 1
contents 1
continue 1
control 1
count 3
coworker 1
day 1
deal 1
defines 1
disguised 1
does 2
doesnt 1
donated 2
door 1
dr 5
dropping 1
early 1
encounters 1
escapes 1
even 1
explain 1
explains 1
eye 2
eyes 2
eyeshaped 1
falls 1
feet 1
female 1
fight 1
find 3
finding 1
flacutono 6
flies 2
for 1
foreman 4
foremen 1
free 1
from 1
get 1
girls 1
giving 1
glasses 3
go 1
gruesomely 1
guardian 1
gum 1
happened 2
happening 1
has 3
have 4
having 1
he 7
heading 1
hear 1
hell 1
him 4
his 7
history 1
home 1
honey 2
hours 1
hypnotised 1
hypnotism 1
hypnotized 1
if 2
ignore 1
immediately 1
in 10
inordinate 1
instructing 1
instructs 1
into 1
is 14
it 3
just 1
keep 1
killed 1
klaus 19
knock 1
later 1
latter 1
learn 1
learns 3
leave 1
library 3
lives 1
local 1
location 1
locked 1
log 1
long 1
lucky 2
lumbermill 5
machine 2
manages 1
means 1
meet 1
mentions 1
mill 4
miserable 1
more 1
move 1
mr 1
name 1
nameplate 1
nemesis 1
new 3
next 1
nobody 1
normal 1
not 1
note 1
of 7
office 1
olaf 5
on 6
once 2
one 3
opens 1
operate 1
optimistic 1
optometrist 1
or 1
orders 4
orwell 11
other 2
out 3
over 1
own 1
paltryville 1
part 1
partner 1
path 1
phil 2
place 1
pleasant 1
poe 1
preparatory 1
pronounces 1
prufrock 1
purposely 1
pushing 1
put 2
read 1
realizes 1
receptionist 1
release 1
relinquishes 1
remains 1
remember 1
remembers 1
return 1
returns 1
right 1
room 1
rush 1
saw 2
says 2
school 2
see 5
seemingly 1
sent 2
set 1
shape 1
shaped 1
she 3
shirley 4
shirleycount 1
shoes 1
shows 1
sir 6
sisters 1
sit 1
smells 1
so 1
socks 1
spelled 1
stamping 1
starting 1
stop 1
strangely 1
strapped 1
subject 1
suddenly 1
sunny 6
swords 1
table 1
technique 1
teeth 1
telling 1
tells 2
that 10
the 48
their 2
them 7
then 2
there 1
they 13
this 2
though 1
three 1
through 1
tights 1
time 3
to 27
together 1
town 1
train 1
trance 2
traveling 1
tripped 1
trips 1
try 1
under 1
unfamiliar 1
unhypnotize 1
unhypnotized 1
up 1
upon 1
uses 1
using 1
very 1
violet 10
waiting 1
wakes 1
waking 1
was 1
way 1
what 4
when 4
where 1
which 4
who 5
will 2
window 1
with 9
wonder 1
word 6
work 2
workers 1
yet 1
