3476270
/m/09fjyp
/m/09fjyp
Haruki Murakami
1994-01
13yearold 1
a 15
actor 1
along 1
an 3
and 5
appear 1
as 1
been 1
begins 1
by 1
callgirl 1
clairvoyant 1
commercial 1
compelled 1
converted 1
corporation 1
despite 1
disappeared 1
dolphin 2
dreams 1
dressed 1
equally 1
establishment 1
even 1
experiencing 1
fact 1
famous 1
fashionable 1
film 1
first 1
follows 1
friend 1
girl 1
has 2
he 3
her 2
him 2
hotel 3
how 1
in 5
individual 1
into 1
is 4
knew 1
large 1
lead 1
living 1
loved 1
makes 1
man 1
meets 1
metaphysical 1
misadventures 1
monotonous 1
murder 1
mysteries 1
name 1
nature 1
never 1
novel 1
now 1
of 3
old 2
once 1
onearmed 1
parents 1
poet 1
prime 1
protagonist 5
purchased 1
real 1
receptionist 1
return 1
rush 1
school 1
second 1
seedy 1
she 1
sheep 2
since 1
skin 1
slick 1
speaks 1
stayed 1
strange 1
surreal 1
survive 1
suspect 1
sympathetic 1
the 15
this 1
to 5
trace 1
troubled 2
two 1
uncover 1
unnamed 1
unsurvivable 1
viz 1
way 1
westernstyle 1
where 1
which 2
who 2
with 1
without 1
woman 2
writer 1
