14513806
/m/03d5zpn
/m/03d5zpn
Kate Seredy
1935
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 2
able 1
adventures 1
all 1
an 1
and 9
appreciate 1
are 1
arrives 1
at 3
be 2
behavior 1
book 1
brother 1
but 1
by 2
celebrating 1
christmas 1
community 1
country 3
daughter 1
died 1
disrespectful 1
do 1
easter 1
end 1
eventually 1
expecting 1
fair 1
family 2
father 4
first 1
girl 1
going 1
good 1
hardly 1
has 2
he 4
her 8
him 1
his 4
hopes 1
horses 1
hungaryriding 1
in 4
is 2
isnt 1
jansci 2
kate 5
kind 1
learns 2
little 1
live 1
love 1
man 1
many 1
marton 1
master 1
met 1
mother 1
move 1
now 1
of 1
on 1
out 1
outofcontrol 1
people 1
persuades 1
polite 1
ranch 1
recognizes 1
repelled 1
respect 1
respected 1
runaway 1
selfcontrolled 1
sent 1
share 1
she 3
since 1
something 1
spirit 1
spoiled 1
teach 1
the 7
to 9
traditional 1
turns 1
uncle 2
unpredictable 1
ways 1
what 1
when 1
will 1
with 2
young 1
