6932081
/m/0gxpx3
/m/0gxpx3
Clive Cussler
1988
{"/m/017rf8": "Techno-thriller", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel"}
a 15
after 2
akhmad 1
al 2
alexandria 2
all 1
along 1
also 1
an 2
ancient 1
and 10
are 5
area 1
as 2
at 1
attempts 1
away 1
aztec 2
back 1
bails 1
be 2
before 1
book 1
brother 1
buried 2
by 2
carrying 1
caverns 1
coin 1
crash 1
destruction 1
detailing 1
dictator 3
dirk 4
discovered 1
discovers 1
distracted 1
eastern 1
egypt 1
ensuring 1
envoy 2
eventually 1
ferrying 1
final 1
find 1
fleet 1
forces 1
from 5
get 1
giordino 1
greenland 2
group 1
gunn 1
hala 3
halas 1
having 1
he 1
heart 1
henchmen 1
hide 2
hijacked 1
hijacker 1
hijacking 1
hiram 1
his 2
historical 1
however 1
in 7
involves 1
is 5
its 1
julius 1
kamil 2
killed 1
kills 1
land 1
lands 1
library 2
life 1
lily 1
locate 1
locates 1
locating 1
location 1
lost 1
made 1
magellan 1
manages 1
meeting 1
middle 1
mission 1
more 1
nations 1
natives 1
never 1
new 1
novel 1
of 10
on 1
one 1
operations 1
out 1
over 1
people 1
pitt 1
plane 4
plot 2
president 2
prologue 1
promise 1
reach 1
rescue 2
roman 3
rudi 1
sail 1
secret 3
secretarygeneral 1
secretly 1
sends 1
several 1
sharp 1
she 1
shifts 2
ship 2
ships 1
shipwreck 1
since 1
skin 1
slaughtered 1
slaves 2
small 1
soldiers 2
soon 1
soviet 1
special 1
starts 1
stop 1
story 1
straits 1
stretch 1
submarine 1
sunken 1
tablet 1
taking 1
terrorist 1
texas 1
that 1
the 31
their 1
then 2
they 3
to 10
topiltzin 3
treasure 5
treasurein 1
treasures 2
trying 3
underground 1
unfolds 1
united 1
us 1
venator 1
where 1
which 1
while 1
who 1
with 3
would 1
wouldbe 2
wreck 1
yaeger 1
yazid 3
