33803294
/m/0hhr7sc
/m/0hhr7sc
Anne McCaffrey
1984
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature"}
43 1
a 5
about 2
after 1
and 3
are 1
arrive 1
asks 1
be 1
beacon 1
been 1
built 1
buried 1
but 1
by 2
case 1
cold 1
colonize 1
control 1
could 1
decoded 1
dinosaur 1
discover 1
emergency 1
featured 1
for 2
forced 1
found 1
from 1
grid 1
has 1
have 1
he 1
heavyworlder 1
helping 1
him 1
illegally 1
immediately 1
in 1
interrupted 1
ireta 1
its 1
landing 1
leaves 1
message 1
mineral 1
mutineers 1
mutiny 3
mysteries 1
not 1
of 2
on 1
only 1
own 2
planet 3
questions 1
reasons 1
resolution 1
seize 1
settlement 1
several 2
sleep 1
survey 1
survive 1
survivors 1
tell 1
that 2
the 4
their 3
thek 2
them 1
they 3
this 1
to 2
unfolded 1
used 1
wakened 1
was 1
wealth 1
who 1
whose 1
without 1
years 1
