29362773
/m/0drwzlq
/m/0drwzlq
Rosemary Sutcliff

12 1
13 1
150s 1
a 9
about 1
adventurers 1
after 3
age 2
albeit 1
all 1
and 19
anxieties 1
are 4
around 3
as 12
at 4
attempt 1
attributed 1
become 1
becoming 1
beginning 1
begins 1
being 6
bess 5
both 1
brought 1
budleigh 1
bulk 1
burghley 1
by 2
cadiz 1
captain 1
capture 1
career 1
cecil 3
chance 1
charting 1
childhood 1
children 1
clandestine 1
close 1
cobham 1
complex 1
connected 2
court 4
created 1
culture 1
death 1
decline 1
depth 1
described 1
despite 1
devereux 2
dorado 1
downfall 1
downs 1
dream 1
drive 1
durham 1
during 3
early 1
el 1
elders 1
elizabeth 5
england 1
essex 1
even 1
events 1
eventual 2
eventually 1
execution 3
explained 1
exploits 1
exploration 7
explorations 1
explore 1
explored 1
extremity 1
fabled 1
face 1
failure 1
faithful 1
fall 2
fate 1
favor 4
first 1
for 4
from 2
frustration 1
further 1
future 1
gain 1
garden 1
gilbert 1
glibert 1
goals 1
golden 1
greensleeves 1
growing 1
grows 1
guard 1
guyana 1
half 2
halfbrother 1
he 1
her 4
him 1
his 12
house 1
humphrey 1
immersed 1
impact 1
impression 1
imprisonment 1
impugned 1
in 14
including 1
inspiring 1
into 1
intrigues 1
involvement 2
is 17
it 1
james 1
king 1
ladyinwaiting 1
last 1
legend 1
life 7
lifelong 2
light 1
london 1
lord 3
machinations 1
main 1
make 1
makes 1
marriage 1
mary 1
meeting 1
motivated 1
motivation 1
much 1
narration 1
new 1
northwest 1
nostalgia 1
novel 5
now 1
of 41
on 4
only 1
onward 1
orinoco 1
overarching 1
palace 1
passage 1
passing 1
passion 2
philip 1
place 2
plan 1
plot 1
portrayed 1
position 1
primarily 2
promote 1
proximity 1
queen 5
quickly 1
raleigh 12
referred 1
reign 2
relationship 2
remember 1
respectively 1
rest 1
restoration 1
resumption 1
return 1
revolving 3
rise 1
robert 1
robin 4
robins 1
round 1
second 1
secretary 1
seek 1
seeking 1
sense 2
service 1
shadows 1
shares 1
sharing 1
she 3
sherborne 1
showing 1
shown 5
shows 1
sidney 2
sir 1
son 1
spelling 1
state 1
story 1
strong 2
stymied 1
support 1
table 1
takes 2
tapestry 1
that 1
the 47
their 3
they 1
this 2
throckmorton 1
throughout 1
times 1
to 12
tower 1
triumvirate 1
tune 1
two 1
under 1
up 2
ups 1
used 2
very 1
waiting 1
walter 2
wanting 1
way 1
westminster 1
what 2
when 1
which 3
while 1
whistling 1
who 1
with 8
world 1
year 1
years 1
