620258
/m/02xdt2
/m/02xdt2
Evelyn Waugh
1934
130s 1
303 1
a 15
abbey 1
about 1
accident 1
adapted 1
affair 1
after 4
agreement 1
agrees 1
aloud 1
also 1
alternative 1
american 1
among 1
an 5
and 10
any 1
apart 2
apparent 1
appear 1
appendix 1
appropriate 1
architecture 1
aristocratic 1
as 3
at 2
attempting 1
avoid 1
back 1
bazaar 1
beaver 3
became 1
because 1
become 1
been 1
begins 1
book 1
brazil 2
breakdown 1
brenda 8
british 1
brother 1
by 1
called 1
came 1
captive 1
chapter 1
charles 1
civilized 1
class 1
climber 1
companion 1
copyright 1
could 2
couple 1
creating 1
days 1
dead 1
decides 1
declared 1
delirious 1
development 1
dickens 4
dies 2
divorce 5
dr 1
dust 1
earlier 1
easily 1
editions 1
ending 3
ends 1
eventually 1
example 1
excitement 1
expedition 2
experience 1
fallen 1
falls 2
family 2
file 1
final 1
focuses 1
for 7
forever 1
friend 1
from 2
gallagher 1
gentry 1
go 1
gothic 1
grant 1
grantmenzies 1
grew 1
grounds 1
had 3
handful 1
harper 1
has 1
he 4
health 1
held 1
help 1
helpless 1
hetton 4
him 1
himself 1
his 5
hold 1
home 2
how 1
i 1
idea 1
ill 1
impoverished 1
in 12
included 1
insist 1
insists 1
instead 1
into 2
invites 1
is 4
isolated 1
it 1
jock 1
john 3
jungle 2
just 1
kind 1
landed 1
large 1
last 1
lasts 1
liked 2
lonely 1
magazine 2
maintenance 1
man 4
marriage 1
marries 1
me 1
meanwhile 1
mercantile 1
messinger 1
monetary 1
mr 1
mutual 1
naturally 1
new 1
not 2
novel 5
nursed 1
obscure 1
of 15
on 3
once 1
or 1
order 1
other 1
over 1
participates 1
plight 1
preexisting 1
preoccupied 1
prisoner 1
published 1
quite 1
reading 2
reasons 1
reflecting 1
refuses 1
relationship 2
relatives 1
remain 1
require 1
retrieve 1
returns 1
reveals 1
rich 1
riding 1
satirises 1
savages 1
scandal 1
selfinterested 1
sell 1
serialized 1
set 1
settlement 1
settler 1
sham 1
she 2
short 3
shortly 1
slightly 1
so 1
social 1
some 1
son 1
soon 1
sorts 1
story 3
stranded 1
study 1
stumbles 1
supply 1
taking 1
that 5
the 32
their 1
them 1
then 1
there 1
thing 1
through 1
to 12
todd 1
tony 11
trapped 1
tribal 1
unfashionable 1
until 1
urban 1
urging 1
us 1
used 1
version 1
victorian 1
village 1
visiting 1
wanders 1
wants 1
was 1
waugh 4
weekend 1
when 2
which 1
while 1
who 4
wife 1
will 1
with 5
works 1
would 1
written 1
wrote 1
yearns 1
