1981230
/m/06bqbt
/m/06bqbt
Al Franken
1999-01-12
a 16
account 1
across 1
act 1
actions 1
actually 1
administration 3
affairs 1
after 4
aides 1
all 1
along 1
also 1
an 2
and 17
anne 1
antidepressant 1
apologizing 1
appearance 1
archeologist 1
are 3
arrested 1
as 2
assassinate 1
at 1
atm 1
atms 1
autobiography 2
be 1
became 1
before 1
behavior 2
behindthescenes 1
benefits 1
biblical 1
bizarre 1
bob 2
bolster 1
book 4
brief 1
bug 1
but 3
by 4
cabinet 1
campaign 6
candidate 1
career 1
causes 1
causing 1
characters 1
childhood 1
christ 1
christhaven 1
clone 2
cloned 1
college 1
come 1
committee 1
completely 1
congress 1
creates 1
crisis 1
cross 1
dangerous 1
daring 3
dark 1
day 1
days 1
decades 1
deceit 1
deceptive 1
degeneres 1
democratic 2
depression 1
describes 3
designed 1
despite 1
detail 1
diary 4
different 1
disastrous 2
dismantling 1
display 1
disturbing 1
drugs 1
due 1
during 1
effects 1
eighteen 1
elected 1
ellen 1
enter 1
entire 1
epilogue 2
erupts 1
events 1
eventually 1
experiences 1
extramarital 1
fabricated 1
fees 1
fictional 2
final 1
finding 1
firestorm 1
first 2
following 1
for 3
forced 1
forms 1
franken 28
from 3
give 1
given 1
giving 1
glasssteagall 1
glitches 1
global 1
grandpa 1
great 1
greatest 2
gripped 1
had 1
hampshire 2
has 1
hatches 1
have 1
he 3
head 1
heche 1
him 2
himself 2
his 9
historical 1
history 1
hitting 1
horse 1
house 1
hundred 1
hussein 1
illegal 1
impeached 1
important 1
in 12
inauguration 1
indeed 1
insults 1
intact 1
into 1
investigate 1
iowa 2
is 11
itself 1
jesus 1
joe 1
landslide 1
later 2
lead 3
leads 1
learn 2
library 1
lieberman 1
life 2
live 1
lovers 1
made 2
makes 1
mandela 1
meeting 1
minnesota 1
most 1
nailed 1
nato 1
nbc 1
nelson 1
new 2
night 1
nightmare 1
nomination 1
now 1
numerous 1
of 14
office 1
on 4
one 1
out 3
pardoned 1
parented 1
parts 1
people 1
perspective 1
pilot 1
plan 1
plaque 1
platform 1
plot 1
postpresidential 1
pr 1
presidency 1
president 5
presidential 1
primary 1
prison 1
promises 1
provides 1
public 1
punches 1
race 1
reads 1
real 1
recounts 1
remains 1
residents 1
resign 1
resigning 1
revealed 1
reveals 1
ridiculous 1
rise 1
routinely 1
running 1
russia 1
saddam 1
saturday 1
schemes 1
second 1
secrets 1
section 1
sections 1
security 1
sending 1
served 1
serving 1
set 1
several 1
singleissue 1
skeleton 1
slavery 1
solely 1
some 2
sometimes 1
soon 1
speech 1
staff 1
starts 2
state 1
states 1
still 1
stomach 1
strange 2
successful 1
support 1
supposedly 2
tenure 1
term 1
terms 1
that 4
the 33
thenlesbian 1
there 1
this 1
three 1
titled 1
to 17
town 1
turbulent 1
turns 1
tv 1
unprecedented 1
unraveling 1
up 1
varied 1
vice 1
victory 1
void 2
was 2
we 2
when 1
which 2
white 1
with 3
woodward 2
world 1
written 2
wrote 1
y2k 1
years 2
