24277574
/m/0g9v6y4
/m/0g9v6y4
Heather Brewer

{"/m/02xlf": "Fiction"}
a 6
abilities 1
about 1
actually 1
after 3
afterward 1
agrees 1
aidan 2
alive 1
all 1
also 2
an 1
and 22
angry 1
answers 1
anywhere 1
are 2
as 2
at 5
attack 1
back 1
be 2
because 1
become 1
bed 1
begins 1
belfry 1
blood 1
book 2
brother 1
building 1
burn 1
but 1
by 5
calls 1
charred 1
comes 1
confront 2
cops 3
corpse 1
could 2
crazy 1
crime 1
cutting 1
dablo 3
dad 1
day 1
days 1
dead 1
death 1
decides 1
described 1
despite 1
dies 2
disappears 1
discovers 1
dorian 3
doubts 1
drapes 1
drinking 1
during 1
dying 1
edge 1
em 5
end 3
enough 1
enrico 1
enslave 1
especially 1
evil 1
explains 2
eyes 1
falls 1
familiar 1
father 7
finally 3
fire 1
for 6
four 1
free 1
from 4
further 1
gets 1
gives 2
go 5
going 1
greatgrandmother 1
green 1
greeted 1
greets 1
ground 1
had 3
half 2
hand 3
happened 1
he 9
help 1
helped 1
henry 5
her 2
hiding 3
him 4
hinting 1
his 16
home 1
hospital 3
house 3
if 1
immediately 1
immensely 1
in 6
information 1
informs 1
injured 1
insists 1
into 1
iridescent 1
is 15
it 2
joss 7
just 1
keep 1
kill 1
killed 2
kills 1
kind 1
knocks 1
lacked 1
later 3
latervlad 1
leaving 1
let 2
life 1
lucis 1
lying 1
make 1
making 1
man 3
many 1
maybe 1
mellina 2
mom 2
more 1
mother 1
motives 1
murdered 1
mysterious 1
near 2
negotiates 1
nelly 3
night 1
not 1
of 7
on 2
one 1
opened 1
otis 4
out 1
outside 1
over 3
partner 1
powers 1
pravus 2
present 1
previous 1
prologue 1
protests 1
questions 1
reach 1
really 1
reassures 1
responsible 1
revealed 2
revealing 1
saying 1
says 1
school 1
search 2
secret 1
sees 1
severely 1
she 2
shows 1
slayers 1
slicing 1
slips 1
snow 2
so 1
society 1
some 1
something 1
son 2
soon 2
spot 1
stake 1
stays 1
still 1
suffer 1
supposedly 1
surprised 1
take 1
tells 1
that 9
the 30
their 2
them 1
then 6
there 2
they 4
thinks 1
to 14
tomas 8
town 1
true 1
turn 1
turned 2
two 2
uncertain 1
uncle 1
unconscious 1
unsuspecting 1
until 1
up 2
vampire 4
vikas 5
visit 3
vlad 28
walk 1
wants 1
warmly 1
was 2
way 1
were 1
what 1
when 3
whether 1
which 2
while 2
who 4
will 1
with 4
would 1
year 1
years 1
