361211
/m/01_gkf
/m/01_gkf
Samuel Beckett
1958
12 1
20odd 2
3 5
6 2
6th 1
a 23
about 4
above 2
afterwards 1
again 1
allows 2
almost 2
alone 2
aloud 1
also 1
amuses 1
an 4
and 22
any 1
appears 1
archaic 1
are 2
as 5
assessment 1
at 3
attending 1
away 2
back 4
ball 2
bananas 1
beckett 1
become 2
been 2
before 1
bench 1
between 1
birthday 2
blackandwhite 1
book 1
both 1
bowel 1
box 1
but 5
by 3
can 2
carefully 1
celebrated 1
certain 1
changed 1
checks 1
childish 1
choices 1
clearly 1
come 1
comes 4
comment 1
commenting 1
compensate 1
complete 1
consults 1
containing 1
contempt 1
continues 1
copies 1
creature 1
croak 1
curtain 2
darkness 1
dates 1
den 1
derisory 1
describe 1
described 1
describing 1
description 1
desk 2
determinately 1
dictionary 1
died 1
dim 1
disappointments 1
discards 1
displayed 1
distant 1
does 1
dog 2
dont 1
down 1
dozed 1
drafts 1
each 1
earlier 2
early 1
eating 1
effort 1
eh 1
eleven 1
end 2
ends 2
enjoys 1
enthusing 1
entire 1
envelope 1
episode 1
escape 1
essential 1
even 4
evening 1
exacerbated 1
expectations 1
experienced 1
face 1
fact 1
fastforwards 1
fell 1
fifth 1
final 1
finds 2
fire 1
fool 2
for 6
foreign 1
fresh 1
from 5
future 1
gathering 1
gets 1
getting 1
girl 1
glad 1
gone 1
good 1
great 1
grows 1
had 2
hanging 1
happiness 1
has 11
hauls 1
have 2
he 46
hear 1
her 1
hes 1
him 5
himself 4
his 26
hoist 1
holly 1
home 1
house 1
how 2
idea 1
idealistic 1
identifies 1
image 1
imagery 1
impatient 1
impressions 1
improvement 1
in 22
interested 2
into 3
is 18
it 15
jibes 1
joe 1
jogging 1
joins 1
jotting 1
just 2
kind 2
known 1
krapp 14
krapps 2
large 1
last 4
late 3
later 1
laughter 1
leaving 2
ledger 2
left 1
lets 1
level 1
liaison 1
libraries 1
life 2
light 3
like 2
listening 1
lit 1
literary 1
loads 1
locates 1
long 1
look 1
looking 1
looks 1
loss 1
made 4
makes 2
making 1
man 3
many 1
masochism 1
me 1
memento 1
memories 1
memory 1
mention 1
mentions 2
middle 1
moment 2
months 1
mood 1
more 2
morning 1
mother 1
mothers 1
much 1
music 1
must 1
my 1
new 2
news 1
night 1
no 1
not 4
notes 3
nothing 2
number 1
nursing 1
obvious 1
obviously 1
of 29
off 4
old 8
on 10
one 4
only 1
onslaught 1
onto 1
originally 1
out 3
outside 1
park 1
part 1
pass 1
passed 1
passing 1
past 1
pay 1
penny 1
periodic 1
pew 1
pier 1
play 3
pleasure 1
posterity 1
potential 1
preparation 1
presumably 1
previous 1
problem 1
process 1
produce 1
prostitute 1
punt 2
quiet 1
rather 2
reaction 1
readers 1
reads 1
recalling 1
recent 1
record 1
recorded 1
recorder 1
recording 4
reduced 1
reels 1
regrets 1
regretting 1
relives 1
remains 1
remembers 1
reminiscent 1
removes 1
replays 1
reports 2
response 1
retold 1
retreats 1
return 1
returns 1
reveal 1
revelation 1
revelled 1
review 1
reviewed 1
reviews 2
rewinds 1
rises 1
romantic 1
rubber 1
run 1
same 1
sarcastically 1
saturday 1
save 1
saw 1
say 1
saying 1
scathing 1
scene 1
section 1
see 2
self 3
selfimportant 1
selfs 1
selves 1
session 1
seventeen 1
sex 1
she 1
silence 1
silent 1
simply 1
sitting 2
slut 1
so 1
sold 1
some 1
spool 3
starts 3
still 1
stops 1
strong 1
suddenly 1
summarizes 1
sunday 1
table 1
takes 1
talks 2
tape 16
taped 1
taperecorder 1
teens 1
than 2
that 8
the 79
their 1
them 1
then 3
thirtynineyearold 2
this 4
though 1
throughout 2
throwing 1
throws 1
time 3
tins 1
to 26
too 1
tormenting 1
transfixed 1
trip 1
trouble 1
tuppence 1
turned 1
twenties 2
unlike 1
unrealistic 1
until 1
up 3
upsets 1
use 1
used 1
vespers 1
viduity 1
visibly 1
visits 1
voice 6
waiting 1
walking 1
wandering 1
wants 1
was 5
what 3
when 8
where 2
whereas 1
which 3
while 1
white 1
widowhood 1
will 1
wine 1
with 5
woman 1
womans 1
word 4
words 3
worked 1
would 2
wound 1
wrenches 1
writing 1
year 6
years 2
you 3
young 2
younger 4
zone 1
