4433774
/m/0c24jc
/m/0c24jc
James Thurber
1950-01-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 12
ability 1
able 1
abundance 1
actually 1
admit 1
after 3
again 1
all 2
allows 1
along 1
an 3
and 16
angry 1
are 1
arrested 1
arrives 1
as 6
at 1
attacks 1
aware 1
back 2
be 2
beautiful 1
beauty 1
before 1
begins 2
birthday 1
by 3
called 2
can 1
cast 1
castle 5
character 1
child 1
clocks 3
coffin 1
commands 1
complete 1
complicate 1
conditions 1
confident 1
confronted 1
counts 1
creature 1
cries 1
cry 1
days 1
declares 1
defeat 1
depart 1
destroyed 1
devil 1
discover 1
disguised 1
distant 1
doesnt 1
dripping 1
duke 16
each 1
empty 1
ends 1
enigmatic 1
entering 1
ever 1
evil 1
faced 1
failed 1
failure 1
father 1
few 1
fighting 1
find 1
finding 1
five 1
fled 1
floor 1
forced 1
fortnight 1
from 2
frozen 1
furious 1
further 1
furthermore 1
gets 1
gives 1
gloating 1
golux 4
good 1
hagga 3
happily 1
hark 3
have 1
he 5
help 1
her 1
him 2
himself 1
his 9
home 1
hours 1
however 1
identity 1
imprisoned 1
in 4
inexplicably 1
intention 1
into 1
irrevocably 1
is 7
jewels 6
just 1
kidnapped 1
kingdom 1
known 1
later 1
laugh 1
laughing 1
lives 1
longer 1
loss 1
made 1
make 1
man 2
marry 1
may 1
meeting 1
melt 1
men 1
mentioned 1
minstrel 2
more 1
much 1
must 1
name 1
named 1
niece 2
nightmarish 1
no 1
not 2
of 13
on 2
once 1
only 2
out 2
over 1
posing 1
presented 1
prevent 1
prince 1
princess 5
producing 1
prophecies 1
puddle 1
punish 1
realization 1
reminds 1
rescue 1
return 1
returns 1
reveals 1
room 1
saralinda 6
saved 1
sent 1
servant 1
sets 1
she 5
shores 1
simply 1
sneak 1
so 1
someone 1
sound 2
spell 3
start 1
story 1
striking 2
sword 1
table 1
task 2
tears 2
thanking 1
that 8
the 53
them 1
then 1
therefore 2
they 3
things 1
thirteen 3
thousand 3
throughout 1
to 19
todal 2
town 1
travel 1
traveling 1
twentyfirst 1
twentyone 1
under 1
until 2
using 1
warmth 1
was 4
weep 2
when 1
while 3
who 1
whose 1
will 1
with 7
woman 1
wrathful 1
x 1
xingu 2
zorn 11
zorna 1
