1291008
/m/04qht0
/m/04qht0
Grace Metalious
1959
{"/m/02xlf": "Fiction"}
a 7
about 2
acquitted 1
actor 1
advises 1
affair 1
after 5
agnes 1
allison 10
allow 1
along 1
also 2
although 1
an 2
and 14
anderson 1
anger 1
another 1
anyone 1
apparel 1
are 1
as 1
at 1
attacking 1
attorney 1
author 1
babysitter 1
ban 1
barely 1
been 1
bestselling 1
betty 1
birth 1
board 1
bond 1
book 5
bride 1
brother 1
burbank 1
buswell 1
but 1
by 9
came 1
can 1
carter 1
castle 1
centering 1
certain 1
child 1
circle 1
cohort 1
community 1
complain 1
complained 1
constance 1
corner 1
counterparts 1
cross 2
daughter 2
decides 1
decision 1
defenders 1
destroys 1
did 1
disguised 1
dissolve 1
does 1
down 1
dr 2
drake 1
editor 1
elements 1
ended 1
equal 1
eventually 3
ever 1
expos 1
face 1
fact 1
finale 1
fireplace 1
firing 1
first 2
following 1
follows 1
footsteps 1
for 2
forced 1
former 2
friend 2
friends 1
from 3
getting 1
giving 1
grandfather 1
had 4
harrington 1
hastily 1
having 1
he 1
her 18
herself 1
high 1
him 3
his 2
hit 1
hometown 1
how 1
however 1
in 7
incensed 1
inlaw 1
into 1
ironically 1
is 7
it 2
itinerant 1
its 3
jackman 1
jennifer 1
joey 1
killed 2
know 1
lashing 1
leslie 1
lewis 2
library 1
life 2
live 1
loves 1
lucas 1
mackenzie 1
mackenzies 1
make 1
makes 1
man 1
manager 1
many 1
marion 1
marriage 1
married 1
marry 1
matthew 1
meets 1
member 1
members 1
metalious 1
michael 2
mission 1
most 2
mother 3
moves 1
murder 1
murdered 1
new 1
newspaper 1
nonetheless 1
not 1
notably 1
novel 5
of 20
office 1
oldest 1
on 1
one 1
opera 1
original 1
part 1
partridge 1
penned 1
person 1
peter 1
peyton 2
phenomenal 1
place 2
predecessor 1
previous 1
principal 1
publication 1
publisher 1
punishes 1
randlett 1
rebonded 1
residents 1
return 1
returning 1
returns 2
revelation 1
reverses 1
roar 1
roberta 2
roddy 3
rodney 1
roommate 1
rossi 2
sales 1
same 2
samuel 1
scheming 1
school 3
secrets 1
selena 2
sequel 1
seth 1
she 10
shocked 1
shoppe 1
similar 1
similarity 1
situations 1
snobbish 1
so 1
soap 1
sold 1
son 1
stands 1
stepfather 2
stephanie 1
stood 1
success 2
swain 2
ted 1
that 3
the 25
their 3
them 1
this 1
those 1
thrifty 1
time 1
timothy 1
to 15
tongs 1
tongue 1
total 1
town 1
trouble 1
trying 2
union 1
up 1
was 3
well 1
when 1
whenever 1
which 3
while 1
who 5
whom 1
with 3
would 1
wouldnt 1
wrath 1
writing 1
york 1
