13499470
/m/03c7bsv
/m/03c7bsv
Clayton Rawson
1939
{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
across 1
ad 1
agoraphobic 1
an 2
and 5
are 1
argyria 1
at 1
attempt 1
be 1
before 1
behind 1
bends 1
bizarre 1
blue 1
bring 1
by 2
call 1
can 1
ceiling 1
charles 1
city 1
classified 1
coins 1
complex 1
conclusively 1
counterfeit 1
crimes 1
death 1
drops 1
east 1
expands 1
explanation 1
favourite 1
footprints 1
for 2
friend 1
gangster 1
golden 1
great 1
group 1
guilty 1
guinea 1
harte 3
haunted 1
he 1
heiress 1
her 1
his 4
home 2
house 1
hunters 1
in 2
into 1
investigating 1
involve 1
involving 1
is 1
island 2
it 1
lamb 1
life 1
linda 1
looking 1
magic 1
man 1
marching 1
medium 1
merlini 3
more 1
murder 2
named 1
neat 1
new 1
of 4
old 1
on 2
one 1
out 1
person 1
plot 2
police 1
psychic 1
publicity 1
researcher 1
river 1
ross 1
sale 1
scene 1
second 1
seeking 2
set 1
shop 1
skelton 2
skin 1
soon 2
store 1
sunken 1
survives 1
swept 1
than 1
the 11
tiny 1
to 3
treasure 2
turns 1
up 1
when 1
with 2
writer 1
york 1
