6002164
/m/0fk24y
/m/0fk24y
Joseph Delaney
2005-06-30
a 5
about 2
after 2
again 2
alice 10
allows 1
already 1
also 1
although 2
an 1
ancient 1
and 17
andrew 1
apprentice 1
arm 1
arrested 1
as 2
asleep 1
at 2
away 1
back 2
bane 10
be 3
begins 1
being 1
bested 1
betrayed 1
binding 1
binds 1
blood 1
book 1
both 2
bound 2
bring 1
brother 1
buried 1
but 4
by 3
cairns 1
catacombs 4
cemetery 1
chain 1
chippenden 2
city 1
comes 1
confesses 1
could 1
cousin 1
deal 2
demand 1
demon 2
die 1
dies 2
dig 1
does 1
doesnt 1
dreams 1
during 1
enter 2
enters 1
events 1
exchange 1
execution 1
existence 1
fails 1
fall 1
father 2
feed 1
finally 1
find 2
first 1
following 1
follows 2
for 4
form 1
free 1
freed 1
freedom 1
from 4
gate 1
gave 1
go 2
goes 1
gregory 1
grown 1
had 2
has 2
haunted 1
have 1
he 11
heals 1
help 1
helps 1
her 5
hides 1
him 9
his 11
horshaw 1
house 1
if 2
in 8
information 1
inside 1
into 3
is 4
kills 1
knocked 1
knowledge 2
known 1
knows 1
last 2
latin 1
leader 1
let 1
letter 1
life 1
locked 1
made 3
makes 1
manages 1
mark 1
material 1
meg 1
mother 3
naze 2
not 1
of 3
on 3
once 3
only 1
opening 1
other 1
out 2
own 1
pact 1
pay 1
people 1
pit 1
pointlessly 1
power 2
predicted 1
preparations 1
priestown 1
prison 1
prisoners 1
prisons 1
put 1
quisitor 1
refuses 1
respects 1
rest 1
return 1
ripper 2
save 1
segantii 1
sent 1
set 1
she 5
shed 1
shock 1
silver 2
since 1
skelton 1
skills 1
slip 1
so 2
spook 14
stay 1
successful 1
summons 1
sway 1
swayed 1
takes 2
tells 1
tempt 1
that 5
the 47
their 2
them 3
then 1
there 2
they 2
this 1
time 1
to 22
tom 11
too 2
town 1
tries 2
turns 1
under 1
undetected 1
up 1
uses 2
victim 1
visit 1
wakes 1
was 2
what 1
where 3
whisks 1
who 1
will 1
witches 1
with 7
without 1
wrote 1
yet 1
