6167034
/m/0ftrmx
/m/0ftrmx
Paul Levinson

1th 1
2008 1
2011 1
2042 1
404 1
a 15
about 1
across 1
action 1
adventure 1
alcibiades 1
alexandria 4
already 1
also 1
although 1
an 2
analog 1
ancient 2
and 17
andros 1
any 1
appear 1
appears 1
appleton 1
are 2
as 6
at 4
athenian 1
athens 2
bc 1
be 2
become 2
been 1
begins 2
behind 1
being 1
bit 1
both 1
but 3
by 1
century 1
chapters 1
character 2
characters 4
choice 1
city 1
clone 1
comes 1
concept 1
constantly 1
copy 1
course 1
deals 1
death 2
deeper 1
deeply 1
deprived 1
dialogue 1
different 1
directly 1
discusses 1
document 1
due 1
each 1
effectively 1
encounter 1
endless 1
eras 1
escape 1
even 1
eventually 1
extensive 1
fact 1
fall 1
famous 1
fiction 1
fictional 1
first 1
flash 1
flashback 1
free 1
from 2
fruitful 1
full 1
future 2
general 1
genuine 1
graduate 1
great 1
greece 1
had 1
have 2
having 1
head 1
help 2
henry 1
her 4
heron 2
hers 1
herself 1
him 3
himself 1
his 4
historians 1
historic 2
history 1
however 1
hypatia 1
in 17
intertwined 1
into 1
inventor 1
involves 1
is 5
issue 1
it 2
its 1
itself 2
know 1
lack 1
last 1
later 3
leads 1
leave 1
leaving 1
library 1
life 3
london 1
long 1
loops 1
love 1
lover 1
main 1
mathematician 1
meets 1
mentioned 1
metaphysical 1
might 1
more 2
named 1
new 1
no 1
not 2
novel 2
novelette 1
november 1
occasion 1
october 1
of 13
offered 1
offering 1
on 4
only 2
onstage 1
onto 1
or 1
other 1
out 1
own 1
part 1
particular 1
path 2
person 2
placed 1
plato 1
plausibility 1
plot 2
point 1
points 2
poses 1
possibility 1
previously 1
primarily 1
published 2
publisher 1
qualms 1
questions 1
rarely 1
reader 1
realizes 1
receives 1
records 1
remain 1
renowned 1
rest 1
roman 1
ruthless 1
same 1
satisfying 1
save 2
scenes 1
science 1
sense 1
sentence 1
sequel 1
set 1
several 1
she 2
sierra 4
socrates 3
somewhat 1
soon 1
standalone 1
story 4
student 1
suspicious 1
take 2
taken 2
takes 1
tangles 1
than 1
that 4
the 27
theme 1
there 1
thereof 1
they 2
thinking 1
this 2
time 8
to 9
together 1
trapped 1
travel 3
traveler 1
traveling 1
two 1
ultimately 1
unanswered 1
unburning 1
unknown 2
untangles 1
up 2
validity 1
various 2
very 1
victorian 1
waters 3
well 1
were 1
when 1
which 6
while 1
who 1
will 1
william 1
with 6
would 3
yet 1
york 1
