4697278
/m/0chx3n
/m/0chx3n
Ben Mikaelsen
1998-09-15
10 1
11 1
120s 1
20 1
5 1
a 14
about 1
abusing 1
after 3
age 2
ages 1
all 3
along 1
also 1
always 1
an 5
and 23
another 1
anyone 1
appears 1
appreciate 1
are 3
around 2
as 3
asks 1
asylum 4
at 4
attacks 1
awful 1
baby 1
be 2
because 3
become 1
becomes 3
befriending 2
befriends 2
begins 1
believed 1
best 1
between 1
bible 1
body 2
born 1
boss 1
both 1
boy 2
bozeman 2
brings 1
builds 1
but 3
butte 1
by 1
calvin 6
can 2
candy 1
care 2
cassie 1
childbirth 1
chocolate 1
christmas 1
civic 1
clubfooted 1
constantly 1
corbin 1
corbins 1
could 1
cowboy 1
crowded 1
cut 1
decide 1
devastated 2
diagnose 1
different 1
dignity 1
disabled 1
disease 1
do 1
doctor 2
dont 1
each 1
else 1
end 1
esteban 6
even 1
eventually 1
family 1
father 1
favorite 1
figure 2
find 1
fires 1
fit 1
following 1
for 4
forty 1
frequently 1
friend 1
friends 2
friendship 1
from 2
fun 1
giggles 1
give 2
gives 2
go 2
good 1
grandfather 1
growth 1
handsome 1
has 1
have 2
he 13
her 3
him 6
his 10
home 1
hometown 1
hope 1
hospital 2
husband 2
idiot 4
ii 1
ill 1
improperly 1
in 13
insane 2
institution 2
institutionalized 1
intervenes 1
into 2
is 15
isnt 1
it 3
its 1
joe 5
joy 1
just 1
kids 1
kind 3
ladd 1
later 2
lazily 1
leaders 1
leaves 3
let 1
life 2
like 5
little 1
lives 1
living 2
local 1
looked 1
love 1
make 2
male 1
many 1
meet 1
men 2
mice 1
mildly 1
money 1
montana 3
more 1
most 1
mother 1
moves 1
movies 2
mrs 1
much 1
muscles 1
named 5
new 2
news 1
noises 1
normal 1
not 1
nothing 1
notices 1
now 1
nurse 3
nurses 1
nursing 1
of 8
often 3
old 5
olds 1
on 2
one 1
only 2
out 1
owen 2
part 1
pelt 1
people 1
person 1
petey 25
pistol 1
place 1
plaque 1
play 2
point 1
quickly 2
remarkable 1
respect 1
retarded 1
returning 1
right 1
room 2
sees 1
seventy 1
she 3
shooting 1
should 2
show 1
snowballs 1
some 2
son 1
soon 2
sort 1
spend 2
springs 2
started 1
still 2
story 1
switches 1
takes 1
talks 1
teaches 1
teenagers 1
telling 1
tells 3
terrible 1
that 11
the 17
their 4
them 4
then 2
there 1
these 1
they 6
think 1
time 1
to 12
together 1
too 1
took 2
tormented 1
toy 1
transferred 1
trapped 1
trevor 5
trust 1
twenty 1
twisted 2
two 4
ultimately 1
understanding 1
understands 1
unfortunately 1
unlike 1
unsanitary 1
until 2
up 2
verse 1
very 2
view 1
war 1
ward 1
warm 2
was 4
when 4
whenever 1
which 1
while 1
who 3
wisdom 1
with 1
without 1
witnesses 1
work 1
world 1
worse 1
year 1
years 5
york 1
