28287573
/m/0cnxqj2
/m/0cnxqj2
Richard Baker

{"/m/01hmnh": "Fantasy"}
a 1
advises 1
aid 1
and 2
araevin 1
army 2
assault 1
by 1
come 1
convince 1
costly 1
defeat 2
defenders 1
demonelf 2
denizen 1
dlardrageth 1
drannor 1
elven 3
evereska 1
failed 1
forever 1
heels 1
her 4
in 1
inhabiting 1
leaders 1
legendary 1
make 1
malkizid 1
menace 1
most 1
must 1
myth 1
named 1
of 4
on 1
order 1
outer 1
planes 1
powerful 1
rally 1
regroup 1
remaining 1
retreats 1
ruins 1
sarya 1
she 1
site 1
summons 1
the 9
their 1
to 5
weary 1
who 1
with 1
