45492
/m/0cc9m
/m/0cc9m
Richard Matheson
1954
{"/m/0kflf": "Vampire fiction", "/m/06n90": "Science Fiction", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02psyd2": "Zombies in popular culture", "/m/0hc1z": "Apocalyptic and post-apocalyptic fiction", "/m/02xlf": "Fiction", "/m/09vxq_p": "Catastrophic literature", "/m/026ny": "Dystopia"}
a 15
about 1
abroad 1
accepts 1
acknowledges 1
act 1
actually 2
admits 1
aerobic 1
after 3
against 2
air 1
alcoholism 1
all 1
allows 1
along 1
also 3
am 2
an 3
anaerobic 1
and 26
angeles 1
animated 1
apparently 2
are 1
as 6
asks 1
at 1
attempt 1
attempting 1
attempts 1
awake 1
awe 1
bacteria 3
badly 1
barricading 1
be 1
become 3
being 1
beliefs 1
believed 2
blindess 1
blood 1
bodies 2
books 1
born 1
both 1
bouts 1
but 6
by 12
can 1
capable 1
capture 1
captured 1
captures 1
cause 1
caused 1
character 1
christian 1
cities 1
claiming 1
cloudy 1
comatose 1
come 3
comfort 1
comprehend 1
conditioning 1
confessing 1
confronted 1
constrained 1
consuming 1
convincing 1
cross 1
crosses 2
cure 1
daily 2
day 3
daylight 1
daytime 1
dead 1
death 1
deceased 1
decides 1
deep 1
depression 1
destroyed 1
destruction 1
details 1
dies 1
diminished 1
direct 1
discovers 4
disease 4
disregards 1
does 1
driven 1
driving 2
during 3
dust 1
each 1
earlier 2
easier 1
effective 1
efficacy 1
efficient 1
entering 1
escape 1
even 2
excursions 1
execution 2
explosion 1
exposed 1
exposing 1
fact 1
failed 1
fate 1
fear 3
find 2
finds 1
flashbacks 1
for 5
forays 1
forever 1
fortress 1
from 3
further 1
garlic 2
germ 1
get 1
gives 1
goes 1
grounds 1
hardened 1
has 1
hate 1
have 4
having 1
he 19
heartless 1
hearts 2
her 8
hibernated 1
him 11
himself 2
his 11
hitherto 1
hosts 2
house 3
how 1
humanity 1
husband 3
hysterical 1
i 2
if 1
immune 1
imperative 1
implied 1
in 10
inactive 1
included 1
infected 8
infecting 1
infection 1
inflicting 1
informs 1
injured 1
insanity 1
inside 2
into 2
invisible 1
is 14
it 4
items 1
jewish 1
judging 1
just 1
kill 1
killed 2
killer 1
killing 4
kisses 1
knocks 1
large 1
latter 1
leave 2
leaves 1
legend 3
let 1
library 1
life 1
living 1
los 1
loved 1
main 1
make 1
mankind 1
materials 1
means 1
member 1
methodically 1
mirrors 2
moral 1
more 1
mosquito 1
motives 1
moved 1
much 1
narrative 1
need 1
neville 18
new 3
night 2
nightly 1
not 3
note 1
now 4
numbers 1
obtains 1
of 27
old 1
on 3
one 1
ones 1
only 1
or 1
other 3
others 1
out 4
overcome 1
own 1
painstaking 1
pandemic 4
parasites 1
particular 1
particularly 1
past 2
people 2
periods 1
person 1
pills 1
point 1
population 1
possibly 1
preinfection 1
previous 1
prison 2
protected 1
psychological 1
pursued 1
puzzled 1
questions 1
race 1
ranking 1
rapidly 1
react 1
reacted 1
reactions 1
realize 1
realizes 2
rebuild 1
recognizes 1
regularly 1
relates 1
religious 1
reluctantly 1
remarks 1
remnant 1
research 3
resemble 1
resent 1
responsible 1
result 1
revealed 1
robert 1
root 1
ruth 11
sample 1
scavenges 1
scientific 1
searches 1
seen 1
sees 2
senseless 1
sent 1
she 8
short 1
should 2
sight 1
significantly 1
slowly 1
so 1
society 3
sole 1
some 2
sometimes 1
speaks 1
spend 1
spread 1
spy 1
stake 1
stakes 1
startled 1
storms 1
story 2
strain 1
such 2
sunlight 2
sunset 1
superstition 1
supplies 1
surround 1
survival 2
survived 1
survives 1
survivor 1
survivors 1
suspicious 1
swarms 1
switch 1
symbionts 1
symptoms 1
tells 1
than 1
that 17
the 47
their 9
them 3
then 1
therefore 1
these 1
they 9
this 2
though 2
three 1
through 2
time 1
times 1
to 25
trauma 1
true 2
trying 1
two 1
unassailable 1
uninfected 1
unlike 1
until 1
upset 1
vampire 2
vampires 9
vampiric 1
vampirism 1
view 2
visited 1
visitors 1
waiting 1
wakes 2
war 1
warning 1
warns 1
was 10
ways 1
weather 1
weeks 1
were 3
when 5
where 1
whereupon 1
which 2
who 6
whose 1
will 2
window 1
with 2
woman 1
would 4
wounds 1
years 1
