27143285
/m/0bwkmpb
/m/0bwkmpb
Brian Lumley
1993
{"/m/06n90": "Science Fiction", "/m/08sdrw": "Adventure novel"}
a 12
ability 1
about 2
accepts 1
across 1
advisors 1
against 1
agree 1
all 2
allows 1
along 1
already 1
also 4
and 21
another 1
are 3
as 4
ascended 1
at 2
attacked 1
awake 1
back 3
beasts 1
been 3
begins 1
ben 4
blackened 1
blow 1
body 1
both 1
british 6
burned 1
busy 1
but 3
by 4
can 1
cell 1
chung 1
combined 1
come 1
commander 1
compelled 1
complex 1
computer 1
contacts 1
continuum 2
could 1
crashing 1
dam 1
danger 1
darkness 1
dart 1
david 1
dead 3
deadspawn 1
death 1
disappears 2
discovered 1
dread 1
each 1
eager 1
earth 3
ebranch 6
england 2
entrance 2
escape 1
esp 1
explodes 1
father 3
feel 1
feels 1
fighting 1
finally 1
find 1
finds 1
fire 1
flees 1
flies 1
fly 1
flyer 1
flyers 1
foener 1
follow 1
for 2
forced 1
forces 1
friends 1
from 4
gate 2
get 1
go 3
golden 2
goodly 1
grave 1
group 1
happening 2
harry 6
has 4
have 2
having 2
he 13
headmaster 1
headquarters 1
helicopter 1
help 2
her 1
hiding 1
him 6
himself 1
his 5
hologram 1
home 1
how 2
hq 1
human 2
husband 1
ian 2
if 1
image 1
immediately 1
in 19
inflicted 1
inside 1
instantaneously 1
intercepted 1
interrogation 1
into 4
is 10
it 2
its 1
jazz 1
keogh 1
knew 1
know 2
knowledge 1
lady 1
learn 2
learned 1
learning 1
learns 1
leper 1
leprosy 1
lessons 1
lichloathe 1
light 1
location 1
london 1
lord 1
lowest 1
making 1
man 1
many 1
mathematics 2
mbius 2
meanwhile 1
members 2
men 1
mind 1
months 1
more 1
mountains 1
moved 1
must 1
nathan 12
necromancy 1
necroscope 1
nestor 2
nightmare 2
nowhere 1
numbers 1
ocean 2
of 19
office 1
on 5
once 3
one 1
only 1
or 1
order 1
other 2
out 3
own 1
particular 1
past 1
perchork 2
perchorsk 2
power 1
powers 1
present 1
project 1
quiet 1
reading 1
realize 1
realizes 1
recapture 1
right 1
river 1
romania 1
room 2
run 1
russia 1
russian 1
second 1
see 1
seems 1
shards 2
shares 1
siggi 1
simmons 1
sixteen 1
so 2
some 1
something 1
soon 1
sorry 1
speaks 1
special 1
spends 1
spinning 1
starts 2
stays 1
still 2
straight 1
strikes 1
stuck 1
suddenly 1
surpasses 1
swim 1
taken 1
taking 1
talent 1
talk 1
teacher 1
telepath 2
telepathy 1
teleport 1
teleports 1
tell 1
tells 1
that 1
the 37
their 3
them 1
then 1
there 3
they 7
this 4
though 1
to 28
told 1
transport 1
trapped 1
trask 2
trip 1
trying 1
turgosheim 1
turkur 4
turn 1
tutor 1
tzonov 1
unsure 1
until 1
use 2
using 1
vampire 2
view 1
village 1
visit 1
wage 1
wait 1
waiting 1
wamphyri 3
wants 1
war 1
well 1
west 1
where 3
which 1
while 2
who 1
with 4
witnessed 1
world 3
wormhole 1
wratha 1
years 1
zek 2
