8726555
/m/027gg_q
/m/027gg_q
Katherine Paterson
1991-02
a 15
abernanthy 1
accepting 1
actually 1
after 1
aka 1
alerted 1
allowed 1
almost 1
also 1
although 1
an 1
and 12
another 1
appears 1
are 1
as 8
asylum 1
at 11
baby 1
back 1
baker 3
bear 2
because 1
been 1
before 1
begins 1
best 1
better 2
black 1
boarding 1
briefly 1
brings 1
brother 1
but 4
by 2
calf 1
caught 1
causing 1
chance 1
charles 1
charlie 5
chooses 1
college 2
company 1
conditions 2
considered 2
debt 1
decides 1
died 1
dies 1
door 1
during 1
earn 1
end 1
ends 1
enough 1
enters 1
eventually 1
ezekial 1
family 3
farm 3
father 1
fired 2
first 1
floor 1
for 8
from 2
girl 1
go 3
goes 1
gold 1
had 1
harmed 1
has 1
he 4
her 12
him 3
his 2
home 2
hours 1
house 3
housemaid 1
how 3
if 1
in 4
inn 2
instead 1
involved 1
is 13
it 2
jip 1
job 1
knew 1
known 1
knows 1
later 2
leaves 2
left 3
lends 1
lent 1
let 1
letter 3
likes 1
live 1
lose 1
luke 2
lyddie 15
marry 1
marsden 2
meets 1
men 1
met 1
mill 7
money 2
moral 1
mother 3
mr 2
mrmarsden 1
no 2
nothing 1
novel 2
of 2
on 3
once 1
one 2
only 1
open 1
other 1
others 1
part 1
paterson 1
pay 1
paying 1
petition 1
plans 1
proposes 1
rape 1
received 1
receives 1
refuses 1
return 1
returns 2
runaway 1
rush 1
school 1
sees 1
sells 1
sent 5
she 22
sign 1
sister 2
slack 1
slave 3
sold 1
soon 1
stevens 1
story 1
struggle 1
struggles 1
supervisor 2
taken 1
tavern 1
tells 1
textile 1
that 2
the 29
then 2
there 2
they 1
this 1
though 1
through 1
to 19
treated 1
trying 1
turpitude 1
uncle 2
under 1
was 1
wasnt 1
well 2
when 3
where 2
while 1
who 1
will 1
wing 1
winter 1
with 4
woman 1
women 1
word 1
work 4
worker 1
working 1
works 2
world 1
wouldve 1
writes 1
