22576268
/m/05zk1hh
/m/05zk1hh
Julian Barnes
2000

a 6
after 1
america 1
and 5
appears 1
as 2
business 1
by 1
daughters 1
divorced 1
driver 1
emigrated 1
england 1
etc 1
flat 1
food 1
for 1
forgiven 1
gillian 2
got 1
has 2
have 1
he 1
him 1
his 1
in 3
intervening 1
is 1
it 1
job 1
later 1
live 1
london 1
love 1
meanwhile 1
northeast 1
offers 1
oliver 3
opened 1
organic 1
over 1
period 1
picture 1
protagonist 1
remarried 1
restaurant 1
restoration 1
returned 1
seeks 1
set 2
small 1
some 1
stealing 1
still 1
stuart 2
success 1
successful 1
supported 1
talking 1
ten 2
the 2
their 1
to 3
two 1
up 1
was 1
where 1
wife 1
writer 1
written 1
years 2
